k,n,x,y,K,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf,SM,sqrt_Diag,sqrt_sumDelta2,c_M,c_M_all,tri_absR,tri_absMDelta
6,250,63000,715,87,10,0.114943,35.115596743,70.137218282,64.576113353,0.500669938,0.543786161,20.212324924,18.413991671,15.046973963,1.097661240,1.343281711,209.940972,44.222408
6,250,63000,715,87,11,0.126437,50.018868562,71.703116385,66.273538661,0.697582910,0.754733632,19.013432913,18.452978928,15.058909687,1.030372006,1.262603556,224.844244,45.421300
6,250,63000,715,87,12,0.137931,50.018868562,73.359874313,66.273538661,0.681828711,0.754733632,19.777731831,18.468800290,15.063757804,1.070872581,1.312934799,240.346962,46.185599
6,250,63000,715,87,13,0.149425,65.139436927,74.901954226,67.976565921,0.869662716,0.958263131,22.628524786,18.687525375,15.093700720,1.210889314,1.499203224,255.467530,49.036392
6,250,63000,715,87,14,0.160920,50.969132880,76.230573025,69.437821331,0.668617995,0.734025520,22.247350456,18.691412427,15.094903938,1.190244480,1.473831867,269.637834,49.417566
6,250,63000,715,87,15,0.172414,36.608241668,77.571486128,70.907307293,0.471929100,0.516283061,25.892868407,19.043599965,15.528873946,1.359662483,1.667401545,283.998725,53.063084
6,250,63000,715,87,16,0.183908,36.608241668,78.308075473,70.907307293,0.467489993,0.516283061,25.020638446,19.063564324,15.553350480,1.312484802,1.608697655,294.714099,53.935314
6,250,63000,715,87,17,0.195402,48.195844890,79.160768267,71.847886371,0.608834982,0.670803935,19.086484766,19.965812396,15.833832641,0.955958335,1.205424182,306.301702,59.869468
6,250,63000,715,87,18,0.206897,48.195844890,80.487675730,71.847886371,0.598797822,0.670803935,18.576902224,19.972314313,15.835882505,0.930132679,1.173089167,320.856382,60.379051
6,250,63000,715,87,19,0.218391,63.005316224,81.838782894,73.358293445,0.769871130,0.858871073,19.832640030,20.011751958,15.841413552,0.991049663,1.251948885,335.665853,61.634788
