k,n,x,y,K,MK,Ry,S_K,absS_K,E,SM_K,boundary_MK_Ry,identity_resid,sqrt_sumR2_all,sqrt_sumR2_sf,sqrt_Diag,sqrt_sumDelta2,c_all_K,c_sf_K,c_M_K,c_M_all_K,tri_absR,tri_absMDelta,absS_over_sqrtx,absS_over_x34,absE_over_sqrtx
6,210,44520,715,62,-1,-7.328810502,21.992317194,21.992317194,14.663506692,14.663506692,7.328810502,0.000e+00,91.169766074,76.091996182,28.073407648,15.978135510,0.241223798,0.289022740,0.522327281,0.917723265,666.270708,159.756072,0.104230162,0.007175541,0.069496073
6,211,44943,715,62,-1,-7.328810502,28.090514169,28.090514169,20.761703666,20.761703666,7.328810502,0.000e+00,90.843623441,75.273117035,27.858696686,15.455859668,0.309218337,0.373181227,0.745250358,1.343290125,661.922163,154.654020,0.132503899,0.009100456,0.097933654
6,212,45368,715,63,-1,-7.328810502,31.471230659,31.471230659,24.142420157,24.142420157,7.328810502,0.000e+00,91.233119488,75.900166517,30.653341652,14.211855180,0.344954013,0.414639810,0.787595050,1.698752193,671.104490,171.361680,0.147753885,0.010123985,0.113345945
6,213,45795,715,63,-1,-7.328810502,21.700065544,21.700065544,14.371255042,14.371255042,7.328810502,0.000e+00,92.669106101,77.365441200,25.048626179,15.755305122,0.234167205,0.280487841,0.573734261,0.912153394,675.697504,160.465737,0.101403283,0.006931824,0.067156131
6,214,46224,715,64,-1,-7.328810502,-4.440124287,4.440124287,-11.768934789,-11.768934789,7.328810502,0.000e+00,92.139417493,75.876653897,29.279020566,19.195965071,0.048189194,0.058517661,0.401957940,0.613094197,680.610228,156.708308,0.020651964,0.001408460,0.054739824
6,215,46655,715,65,0,-7.328810502,-6.108480711,6.108480711,-6.108480711,-6.108480711,-0.000000000,0.000e+00,93.287873290,76.026750206,29.998967178,19.922312360,0.065479901,0.080346466,0.203623034,0.306615046,690.522541,155.877917,0.028280306,0.001924241,0.028280306
6,216,47088,715,65,0,-7.328810502,-14.134840842,14.134840842,-14.134840842,-14.134840842,-0.000000000,0.000e+00,95.994845988,79.417555458,35.300075525,25.328794837,0.147245831,0.177981314,0.400419564,0.558054220,694.989727,189.455847,0.065138207,0.004421893,0.065138207
6,217,47523,715,66,-1,-7.328810502,-10.398365195,10.398365195,-17.727175697,-17.727175697,7.328810502,0.000e+00,94.705513280,77.863922111,31.480048117,25.082762394,0.109796831,0.133545356,0.563124161,0.706747344,702.667742,170.487150,0.047699425,0.003230630,0.081318175
6,218,47960,715,66,-1,-7.328810502,-1.529440306,1.529440306,-8.858250808,-8.858250808,7.328810502,0.000e+00,94.516451494,77.969070218,29.387472336,19.875835672,0.016181736,0.019615987,0.301429490,0.445679415,708.855057,161.744781,0.006983818,0.000471925,0.040449056
6,219,48399,715,67,-2,-7.328810502,-20.663221983,20.663221983,-35.320842987,-35.320842987,14.657621004,0.000e+00,96.219224542,79.309158333,41.097507304,31.407544575,0.214751492,0.260540175,0.859440032,1.124597401,715.081165,213.183427,0.093924707,0.006332435,0.160550945
6,220,48840,715,68,-2,-7.328810502,-11.962033498,11.962033498,-26.619654502,-26.619654502,14.657621004,0.000e+00,96.301305507,79.355399255,34.412285232,24.130322417,0.124214656,0.150740008,0.773550908,1.103161990,726.750328,180.821096,0.054127403,0.003641022,0.120452158
6,221,49283,715,68,-2,-7.328810502,-6.811912005,6.811912005,-21.469533010,-21.469533010,14.657621004,0.000e+00,96.867598626,80.114241878,33.436709487,22.018668911,0.070321884,0.085027479,0.642094672,0.975060441,730.953505,197.211061,0.030684600,0.002059426,0.096710589
6,222,49728,715,69,-1,-7.328810502,-4.513583416,4.513583416,-11.842393919,-11.842393919,7.328810502,0.000e+00,96.758526425,80.338611351,29.726865066,20.856433691,0.046647914,0.056181994,0.398373454,0.567805316,736.819279,171.574237,0.020240488,0.001355410,0.053105439
6,223,50175,715,70,-2,-7.328810502,28.072667335,28.072667335,13.415046331,13.415046331,14.657621004,0.000e+00,96.506357594,80.402803452,21.956887548,13.024124188,0.290889305,0.349150355,0.610972129,1.030015235,747.330973,133.266976,0.125325657,0.008373714,0.059889196
6,224,50624,715,70,-2,-7.328810502,30.695618205,30.695618205,16.037997201,16.037997201,14.657621004,0.000e+00,97.574662861,81.010211659,28.020491744,16.627162333,0.314585952,0.378910480,0.572366729,0.964566105,749.385229,163.563051,0.136426317,0.009095133,0.071280692
6,225,51075,715,71,-3,-7.328810502,31.362731456,31.362731456,9.376299950,9.376299950,21.986431507,0.000e+00,99.239273369,84.057737471,31.498768759,19.605648806,0.316031450,0.373109394,0.297671951,0.478244818,758.907796,181.516608,0.138774507,0.009231188,0.041488459
6,226,51528,715,71,-3,-7.328810502,30.731467748,30.731467748,8.745036241,8.745036241,21.986431507,0.000e+00,98.411464473,82.295226348,31.699225188,18.969774334,0.312275281,0.373429531,0.275875394,0.460998433,760.541029,178.550537,0.135382229,0.008985678,0.038524763
6,227,51983,715,72,-3,-7.328810502,42.632335523,42.632335523,20.645904016,20.645904016,21.986431507,0.000e+00,99.191281238,82.458751485,34.004080843,17.433043728,0.429799222,0.517014080,0.607159597,1.184297151,771.593005,196.674002,0.186985726,0.012383492,0.090553082
6,228,52440,715,73,-4,-7.328810502,38.756841405,38.756841405,9.441599396,9.441599396,29.315242009,0.000e+00,99.750672845,83.682296176,30.315005078,16.996816987,0.388537143,0.463142662,0.311449705,0.555492208,782.509214,177.519213,0.169245463,0.011184108,0.041230085
6,229,52899,715,73,-4,-7.328810502,25.372356890,25.372356890,-3.942885118,-3.942885118,29.315242009,0.000e+00,100.056094081,83.851956040,27.458614604,18.312198171,0.253581325,0.302585152,0.143593738,0.215314682,784.519789,144.022297,0.110315638,0.007274032,0.017143141
6,230,53360,715,74,-3,-7.328810502,35.807138066,35.807138066,13.820706559,13.820706559,21.986431507,0.000e+00,100.497371369,84.504272532,30.359666629,17.022127904,0.356299250,0.423731688,0.455232488,0.811925902,793.651934,178.230771,0.155010708,0.010199004,0.059830459
6,231,53823,715,75,-3,-7.328810502,29.225274471,29.225274471,7.238842964,7.238842964,21.986431507,0.000e+00,100.874810339,84.324801423,26.383404900,17.528436948,0.289718259,0.346579820,0.274371067,0.412977095,802.453292,157.027927,0.125972181,0.008270517,0.031202199
6,232,54288,715,75,-3,-7.328810502,14.797549780,14.797549780,-7.188881727,-7.188881727,21.986431507,0.000e+00,102.166714080,85.015757206,32.117975070,21.317359721,0.144837288,0.174056555,0.223827365,0.337231337,807.144948,180.066043,0.063509382,0.004160657,0.030853854
6,233,54755,715,76,-3,-7.328810502,30.459753191,30.459753191,8.473321685,8.473321685,21.986431507,0.000e+00,101.768340529,84.717806913,25.727530810,16.125416745,0.299304804,0.359543693,0.329348422,0.525463733,813.032175,147.264238,0.130171074,0.008509588,0.036211107
6,234,55224,715,77,-2,-7.328810502,27.541005590,27.541005590,12.883384586,12.883384586,14.657621004,0.000e+00,102.954287698,85.832088634,27.000421820,18.731343038,0.267507126,0.320870738,0.477154937,0.687798230,824.784261,162.566022,0.117196830,0.007645113,0.054823409
6,235,55695,715,77,-2,-7.328810502,8.108597392,8.108597392,-6.549023613,-6.549023613,14.657621004,0.000e+00,102.317676279,84.866347580,32.733948162,20.434305803,0.079249233,0.095545497,0.200068247,0.320491612,824.296735,204.300625,0.034358772,0.002236576,0.027750349
6,236,56168,715,78,-3,-7.328810502,37.654119537,37.654119537,15.667688031,15.667688031,21.986431507,0.000e+00,103.676110171,86.544496655,32.960460907,18.058498149,0.363189933,0.435083928,0.475347965,0.867607478,839.107658,186.240797,0.158879556,0.010320382,0.066108977
6,237,56643,715,79,-4,-7.328810502,59.091657988,59.091657988,29.776415979,29.776415979,29.315242009,0.000e+00,103.887716911,86.172192077,26.996921827,15.603413554,0.568803125,0.685739292,1.102955965,1.908327039,847.477578,169.295823,0.248286469,0.016094092,0.125112096
