k,n,x,K,Kext,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf
6,173,30275,42,2295,30,0.714286,32.248605465,68.261028191,58.172285901,0.472430702,0.554363731
6,173,30275,42,2295,31,0.738095,41.331725251,68.862696975,58.877142525,0.600204858,0.701999511
6,173,30275,42,2295,33,0.785714,32.858524236,69.927227575,59.483720860,0.469895996,0.552395240
6,173,30275,42,2295,35,0.833333,19.534962060,70.559366445,60.225576662,0.276858524,0.324363221
6,173,30275,42,2295,36,0.857143,19.534962060,70.916944723,60.225576662,0.275462545,0.324363221
6,173,30275,42,2295,38,0.904762,19.821839148,71.975516867,61.468545320,0.275396968,0.322471258
6,173,30275,42,2295,40,0.952381,13.269737969,72.665433943,61.816762238,0.182614171,0.214662455
6,173,30275,42,2295,42,1.000000,28.178824753,73.428010382,62.711398582,0.383761246,0.449341354
6,173,30275,42,2295,45,1.071429,34.831967569,74.297511805,63.063331830,0.468817417,0.552333132
6,173,30275,42,2295,47,1.119048,34.670968316,74.867752926,63.734166577,0.463096152,0.543993437
6,173,30275,42,2295,49,1.166667,34.670968316,75.479501050,63.734166577,0.459342839,0.543993437
6,173,30275,42,2295,52,1.238095,27.165820512,76.606110643,64.174537262,0.354616887,0.423311514
6,173,30275,42,2295,55,1.309524,26.484010123,77.763005315,65.021841608,0.340573387,0.407309444
6,173,30275,42,2295,58,1.380952,13.656489483,78.713806642,65.652800360,0.173495478,0.208010769
6,173,30275,42,2295,61,1.452381,25.595525745,79.348804525,66.193628948,0.322569772,0.386676575
6,173,30275,42,2295,64,1.523810,19.782439697,79.934161362,66.448389617,0.247484171,0.297711349
6,173,30275,42,2295,67,1.595238,26.439468688,80.524747796,67.157675196,0.328339665,0.393692435
6,173,30275,42,2295,71,1.690476,33.140298129,81.558698761,68.146328742,0.406336769,0.486310836
6,173,30275,42,2295,74,1.761905,33.970890394,82.316736010,68.726311517,0.412685100,0.494292355
6,173,30275,42,2295,78,1.857143,34.133007194,83.222258377,69.298388198,0.410142765,0.492551242
6,173,30275,42,2295,83,1.976190,39.810300537,84.339157490,70.076113676,0.472026301,0.568100861
6,173,30275,42,2295,87,2.071429,21.155833553,85.211395240,70.899725107,0.248274700,0.298390911
6,173,30275,42,2295,91,2.166667,21.531094130,86.164682847,71.412135797,0.249883054,0.301504694
6,173,30275,42,2295,96,2.285714,6.343604383,86.983476410,71.953595846,0.072928844,0.088162437
6,173,30275,42,2295,101,2.404762,16.839913035,87.882629647,72.335628794,0.191618220,0.232802470
6,173,30275,42,2295,107,2.547619,30.127983917,88.490972644,72.921861065,0.340463925,0.413154347
6,173,30275,42,2295,112,2.666667,34.889657942,89.098301656,73.334847720,0.391586117,0.475758238
6,173,30275,42,2295,118,2.809524,35.224507466,89.980161688,74.065578559,0.391469706,0.475585395
6,173,30275,42,2295,124,2.952381,20.441145908,90.770653257,74.556507064,0.225195536,0.274169844
6,173,30275,42,2295,131,3.119048,31.190886944,91.630485456,75.205463858,0.340398578,0.414742299
6,173,30275,42,2295,138,3.285714,31.786263523,92.819384798,76.050247272,0.342452857,0.417963973
6,173,30275,42,2295,145,3.452381,18.897428201,93.694764937,76.780223364,0.201691399,0.246123642
6,173,30275,42,2295,153,3.642857,21.292058121,94.270309336,77.063570750,0.225861761,0.276292130
6,173,30275,42,2295,161,3.833333,11.554304474,95.172936560,77.898105143,0.121403257,0.148325873
6,173,30275,42,2295,169,4.023810,19.567007236,95.868513702,78.282265281,0.204102541,0.249954535
6,173,30275,42,2295,178,4.238095,23.874742576,96.813229755,78.917417858,0.246606199,0.302528177
6,173,30275,42,2295,187,4.452381,28.253414918,97.677341174,79.762801101,0.289252498,0.354217938
6,173,30275,42,2295,197,4.690476,45.044482326,98.634497469,80.473136595,0.456680811,0.559745578
6,173,30275,42,2295,208,4.952381,26.418019610,99.701016294,81.191988610,0.264972420,0.325377172
6,173,30275,42,2295,218,5.190476,3.730428005,100.431567510,81.924578187,0.037143979,0.045534906
6,173,30275,42,2295,230,5.476190,11.551743385,101.450743440,82.768188638,0.113865537,0.139567430
6,173,30275,42,2295,242,5.761905,24.331217076,102.474697577,83.463503832,0.237436339,0.291519238
6,173,30275,42,2295,255,6.071429,20.993408561,103.300006941,83.950741789,0.203227562,0.250068172
6,173,30275,42,2295,268,6.380952,21.835267167,103.657559413,84.204389846,0.210648093,0.259312694
6,173,30275,42,2295,282,6.714286,31.321690712,104.071614199,84.490496722,0.300962861,0.370712588
6,173,30275,42,2295,297,7.071429,37.287057276,104.803834485,84.961943972,0.355779514,0.438867751
6,173,30275,42,2295,313,7.452381,26.086550007,105.852755086,85.846472779,0.246441861,0.303874454
6,173,30275,42,2295,329,7.833333,12.557437125,106.896138880,86.646040314,0.117473253,0.144927998
