k,n_samples,Kprime_over_K,mean_Kprime,rms_S,C_rms_all,C_rms_sf
8,134,0.025468491,158.761,860.067434,0.447526988,0.539023708
8,134,0.027012632,168.410,836.919516,0.431493308,0.520301071
8,134,0.028650394,178.590,791.008139,0.405255423,0.489040807
8,134,0.030387452,189.440,789.983749,0.401631004,0.485099219
8,134,0.032229828,200.896,832.854661,0.419235913,0.506944740
8,134,0.034183906,213.097,861.203459,0.430096285,0.520485537
8,134,0.036256458,225.985,924.399057,0.456919089,0.553582576
8,134,0.038454668,239.724,966.652153,0.473326905,0.574003649
8,134,0.040786155,254.254,931.723960,0.452388742,0.549082541
8,134,0.043258998,269.664,852.854674,0.412059212,0.500386464
8,134,0.045881769,286.067,778.782858,0.374310684,0.454788357
8,134,0.048663557,303.366,847.604669,0.403352088,0.490552853
8,134,0.051614003,321.769,989.795770,0.465328510,0.566597185
8,134,0.054743333,341.276,1029.371451,0.480485344,0.585446832
8,134,0.058062393,361.978,1034.338562,0.478837978,0.583888439
8,134,0.061582686,383.873,993.659428,0.456630053,0.557206474
8,134,0.065316412,407.164,956.856429,0.436384949,0.532916640
8,134,0.069276512,431.866,929.109023,0.420466487,0.513810959
8,134,0.073476711,458.075,893.879861,0.401521180,0.491029181
8,134,0.077931566,485.806,897.541851,0.400234258,0.489762121
8,134,0.082656517,515.284,963.662288,0.426164928,0.521899921
8,134,0.087667938,546.500,1083.222104,0.473845487,0.580853073
8,134,0.092983200,579.634,1104.377152,0.478733236,0.587269307
8,134,0.098620723,614.784,1048.371557,0.452058795,0.554792089
8,134,0.104600047,652.090,976.913503,0.418046903,0.513355495
8,134,0.110941893,691.545,910.064734,0.386978468,0.475443922
8,134,0.117668243,733.545,917.398329,0.387012491,0.475783972
8,134,0.124802407,778.022,1029.209626,0.430532028,0.529670637
8,134,0.132369112,825.172,1118.676988,0.463222645,0.570359204
8,134,0.140394583,875.254,1153.248773,0.473556509,0.583463788
8,134,0.148906634,928.261,1119.516734,0.456518237,0.562787748
8,134,0.157934766,984.552,1038.842051,0.421150890,0.519415249
8,134,0.167510269,1044.269,974.051768,0.391734213,0.483428603
8,134,0.177666330,1107.575,1002.025811,0.399485739,0.493293586
8,134,0.188438147,1174.701,1000.536111,0.396047761,0.489307555
8,134,0.199863054,1245.978,1053.776038,0.413696249,0.511419084
8,134,0.211980647,1321.433,1122.960715,0.436952511,0.540506713
8,134,0.224832924,1401.597,1213.709013,0.467762028,0.578987687
8,134,0.238464428,1486.582,1213.217067,0.463811740,0.574406726
8,134,0.252922402,1576.664,1090.644853,0.414895334,0.513998317
8,134,0.268256956,1672.276,970.762628,0.367079455,0.454945517
8,134,0.284521236,1773.657,1035.748727,0.388191626,0.481384048
8,134,0.301771612,1881.239,1129.769162,0.419891791,0.520974881
8,134,0.320067868,1995.269,1282.686674,0.471844441,0.585811524
8,134,0.339473417,2116.291,1303.380683,0.475849650,0.591072532
8,134,0.360055514,2244.627,1231.597832,0.446923667,0.555352436
8,134,0.381885493,2380.634,1199.047153,0.431282492,0.536210453
8,134,0.405039012,2525.000,1146.715256,0.409468767,0.509313173
8,134,0.429596318,2678.052,1102.713651,0.390893305,0.486424900
8,134,0.455642520,2840.418,1083.814635,0.381585154,0.475027906
8,134,0.483267889,3012.619,1192.626925,0.415402658,0.517452268
8,134,0.512568171,3195.321,1315.293687,0.454006629,0.565826962
8,134,0.543644913,3389.022,1346.366131,0.460828337,0.574592302
8,134,0.576605822,3594.500,1325.133136,0.450180917,0.561548169
8,134,0.611565134,3812.440,1229.983094,0.414668331,0.517459331
8,134,0.648644011,4043.560,1122.079522,0.376296149,0.469705265
8,134,0.687970961,4288.687,1081.141388,0.360028398,0.449563373
8,134,0.729682284,4548.776,1213.403266,0.400137804,0.499895755
8,134,0.773922542,4824.552,1384.222289,0.451819823,0.564761469
8,134,0.820845065,5117.045,1485.738558,0.480996201,0.601474971
8,134,0.870612475,5427.336,1418.285830,0.455585195,0.569922075
8,134,0.923397258,5756.381,1310.615686,0.417970940,0.523050187
8,134,0.979382355,6105.381,1237.159910,0.392366638,0.491139499
8,134,1.038761799,6475.545,1261.574785,0.396247275,0.496221452
8,134,1.101741388,6868.179,1300.392184,0.404970784,0.507345959
8,134,1.168539397,7284.582,1302.327525,0.402709798,0.504677264
8,134,1.239387335,7726.216,1404.953627,0.430344724,0.539539051
8,134,1.314530747,8194.679,1547.115481,0.468635311,0.587832030
8,134,1.394230064,8691.545,1553.333839,0.466855049,0.585796899
8,134,1.478761510,9218.463,1432.838306,0.428142226,0.537352935
8,134,1.568418053,9777.388,1281.027114,0.380532707,0.477720074
8,134,1.663510426,10370.187,1212.067913,0.357248815,0.448635362
8,134,1.764368201,10998.903,1411.539827,0.411885855,0.517462396
8,134,1.871340930,11665.784,1609.999335,0.465203656,0.584676563
