k,n_samples,Kprime_over_K,mean_Kprime,rms_S,rms_sqrt_sumR2_all,rms_sqrt_sumR2_sf,C_rms_all,C_rms_sf,rms_SM,rms_sqrt_Diag,C_rms_M,C_rms_M_all
7,2400,0.001122018,1.647,121.005237,216.567581,216.567581,0.558741230,0.558741230,54.443421,58.775166,0.926299740,0.847592629
7,2400,0.001258925,1.827,113.034908,222.965942,220.009470,0.506960420,0.513772921,55.289239,59.759238,0.925199880,0.847153015
7,2400,0.001412538,1.999,107.291631,228.824962,223.941723,0.468880800,0.479105145,55.859073,60.278974,0.926675904,0.838457532
7,2400,0.001584893,2.219,121.966981,237.407069,229.983477,0.513746205,0.530329318,59.830824,64.712130,0.924568916,0.872899487
7,2400,0.001778279,2.445,131.226775,244.691980,235.422912,0.536293732,0.557408681,59.569374,66.868870,0.890838664,0.851948850
7,2400,0.001995262,2.727,125.523899,251.365711,240.935990,0.499367626,0.520984427,62.751633,68.755303,0.912680618,0.886739769
7,2400,0.002238721,3.038,126.040853,258.798637,247.404956,0.487022861,0.509451608,64.700940,71.587553,0.903801525,0.896754677
7,2400,0.002511886,3.385,131.554870,265.651465,253.110496,0.495216053,0.519752726,62.409631,76.535447,0.815434325,0.841309997
7,2400,0.002818383,3.780,146.620426,275.068079,259.196438,0.533033228,0.565672997,64.574793,83.276365,0.775427612,0.841974459
7,2400,0.003162278,4.228,147.501475,282.493573,263.715087,0.522140996,0.559321339,73.108535,87.396593,0.836514702,0.934552827
7,2400,0.003548134,4.733,139.818490,288.824957,268.236923,0.484094211,0.521249977,71.333961,88.975915,0.801722133,0.903013974
7,2400,0.003981072,5.298,149.626004,297.102139,273.737899,0.503618062,0.546603171,69.379255,90.959562,0.762748335,0.867754335
7,2400,0.004466836,5.942,164.750333,305.948126,279.967403,0.538491069,0.588462555,75.719472,95.537235,0.792565038,0.927975762
7,2400,0.005011872,6.660,161.558626,313.331687,285.600459,0.515615346,0.565680556,79.962044,100.794252,0.793319488,0.961509013
7,2400,0.005623413,7.470,157.840531,321.032235,291.236744,0.491665676,0.541966403,83.893371,103.968556,0.806911001,0.993730592
7,2400,0.006309573,8.383,161.356698,328.736772,296.656834,0.490838604,0.543917012,80.044881,106.939833,0.748503887,0.935890381
7,2400,0.007079458,9.413,175.434635,337.775380,302.878155,0.519382542,0.579225119,80.829644,113.957626,0.709295613,0.921539452
7,2400,0.007943282,10.564,176.563184,347.353348,309.866196,0.508310010,0.569804601,95.202115,119.240602,0.798403505,1.063047367
7,2400,0.008912509,11.859,165.104238,353.565523,314.045241,0.466969282,0.525733929,106.886850,124.003675,0.861965177,1.170460129
7,2400,0.010000000,13.301,178.356066,362.371168,319.937159,0.492191657,0.557472181,97.758949,130.559457,0.748769574,1.042899569
7,2400,0.011220185,14.921,195.239081,371.804200,326.387158,0.525112628,0.598182484,113.117981,135.847661,0.832682584,1.187409216
7,2400,0.012589254,16.739,189.645055,380.073170,332.340549,0.498969855,0.570634715,111.601286,139.325987,0.801008404,1.158942847
7,2400,0.014125375,18.785,181.849760,388.079531,338.305375,0.468588898,0.537531394,120.096363,143.133840,0.839049401,1.230935013
7,2400,0.015848932,21.080,185.773513,396.210519,344.216519,0.468875774,0.539699587,121.007463,146.022832,0.828688647,1.228090490
7,2400,0.017782794,23.647,201.005137,406.314889,351.099289,0.494702858,0.572502262,115.543003,149.208499,0.774372794,1.160051717
7,2400,0.019952623,26.535,199.084779,414.990343,357.025235,0.479733521,0.557621029,141.635490,152.612328,0.928073719,1.407136974
7,2400,0.022387211,29.770,185.560530,422.279877,362.114468,0.439425462,0.512436112,137.470058,155.386289,0.884698762,1.353385574
7,2400,0.025118864,33.403,193.608178,431.087328,368.460443,0.449115910,0.525451731,135.333663,156.803724,0.863076839,1.325897099
7,2400,0.028183829,37.480,214.967423,441.992917,376.297907,0.486359429,0.571269249,141.319944,158.671231,0.890646296,1.377331081
7,2400,0.031622777,42.053,205.186670,450.173839,382.220539,0.455794301,0.536827956,153.771412,161.423611,0.952595539,1.487492388
