n,X,H,C_centered,E_centered,identity_err
3153,9947715,544.0,113.75581330446585,-215.12209334775275,2.864908310584724e-11
3154,9954024,517.0,44.378570699103875,-236.3107146503694,1.5734258340671659e-10
3155,9960335,554.0,-15.54222928195668,-284.7711146409529,5.093170329928398e-11
3156,9966648,543.0,21.84822539635934,-260.5758873017776,8.549250196665525e-11
3157,9972963,577.0,81.07994469391997,-247.96002765302933,2.1373125491663814e-11
3158,9979280,587.0,98.95761525997659,-244.02119236999647,3.0468072509393096e-11
3159,9985599,756.0,27.30313908844255,-364.3484304556878,1.8189894035458565e-10
3160,9991920,816.0,-6.984781848877901,-411.49239092440394,7.003109203651547e-11
3161,9998243,787.0,26.042410887923324,-380.47879455584234,3.9199221646413207e-10
3162,10004568,781.0,32.4940340280009,-374.2529829859825,3.410605131648481e-11
3163,10010895,748.0,102.81383838813053,-322.59308080596134,5.32054400537163e-11
3164,10017224,791.0,141.23174435568217,-324.8841278220941,1.2960299500264227e-10
3165,10023555,756.0,153.18186839987175,-301.4090658000489,3.0468072509393096e-11
3166,10029888,802.0,119.29560591150948,-341.35219704429187,9.322320693172514e-11
3167,10036223,741.0,75.2193863485154,-332.89030682573684,1.0913936421275139e-11
3168,10042560,733.0,4.624603886928526,-364.18769805638385,3.0377123039215803e-10
3169,10048899,700.0,22.84310404014832,-338.5784479799006,5.047695594839752e-11
3170,10055240,680.0,22.745066065894207,-328.62746696701697,7.185008144006133e-11
3171,10061583,697.0,42.24974040786037,-327.3751297960084,1.227817847393453e-10
3172,10067928,690.0,99.26596466715273,-295.3670176663968,5.3660187404602766e-11
3173,10074275,711.0,60.07981509900128,-325.46009245053824,7.776179700158536e-11
3174,10080624,597.0,111.58870207518339,-242.70564896233577,1.4506440493278205e-10
3175,10086975,523.0,106.62646723714715,-208.1867663812318,3.892637323588133e-10
3176,10093328,493.0,151.87098139018053,-170.56450930487654,6.639311322942376e-11
3177,10099683,460.0,80.56040804296208,-189.71979597852965,2.1373125491663814e-11
3178,10106040,593.0,31.14769473976048,-280.9261526300245,1.9053914002142847e-10
3179,10112399,637.0,43.644781521114055,-296.67760923938863,1.0868461686186492e-10
