j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
650,1001.3494826,-1.188225930e+02,-1.129106883e+02,-1.228471704e+02,-1.169352657e+02,-1.216459,-5.628664247e+02,-3.559584929e+02,-5.273449064e+02,-3.204369746e+02,62.856429,-1.234466713e+03,-8.713066894e+02,-1.190324794e+03,-8.271647706e+02,-6.310902,4.478689841e+02,-9.100457691e+02,1.162603056e+02,-1.241654448e+03,-455.700782
675,1031.8331802,-1.174521951e+02,-1.115402904e+02,-1.227212661e+02,-1.168093614e+02,-1.090554,-5.720648457e+02,-3.651569139e+02,-5.285150362e+02,-3.216071044e+02,61.686300,-1.249163940e+03,-8.860039165e+02,-1.191540761e+03,-8.283807372e+02,-7.526869,4.101461573e+02,-9.477685960e+02,1.255032221e+02,-1.232411531e+03,-446.457865
700,1062.9153815,-1.179185161e+02,-1.120066113e+02,-1.225553666e+02,-1.166434618e+02,-0.924655,-5.711968517e+02,-3.642889199e+02,-5.298304658e+02,-3.229225340e+02,60.370870,-1.256913048e+03,-8.937530245e+02,-1.193439341e+03,-8.302793175e+02,-9.425449,3.782482169e+02,-9.796665364e+02,1.338356343e+02,-1.224079119e+03,-438.125453
725,1093.4408732,-1.185179514e+02,-1.126060467e+02,-1.224239775e+02,-1.165120727e+02,-0.793266,-5.776630695e+02,-3.707551377e+02,-5.310948570e+02,-3.241869252e+02,59.106479,-1.257692826e+03,-8.945328023e+02,-1.195089264e+03,-8.319292397e+02,-11.075371,4.770177479e+02,-8.808970053e+02,1.417623803e+02,-1.216152373e+03,-430.198707
750,1123.1011173,-1.179325583e+02,-1.120206536e+02,-1.223106705e+02,-1.163987658e+02,-0.679959,-5.846689930e+02,-3.777610612e+02,-5.324640947e+02,-3.255561629e+02,57.737241,-1.245142936e+03,-8.819829117e+02,-1.196806899e+03,-8.336468750e+02,-12.793007,4.923903648e+02,-8.655243884e+02,1.506721722e+02,-1.207242581e+03,-421.288915
775,1153.8903037,-1.197160175e+02,-1.138041128e+02,-1.222155442e+02,-1.163036395e+02,-0.584832,-5.841485453e+02,-3.772406135e+02,-5.338102241e+02,-3.269022923e+02,56.391112,-1.279332316e+03,-9.161722923e+02,-1.198593988e+03,-8.354339640e+02,-14.580096,5.361018521e+02,-8.218129011e+02,1.602094512e+02,-1.197705302e+03,-411.751636
800,1183.7127752,-1.213688584e+02,-1.154569537e+02,-1.221552141e+02,-1.162433094e+02,-0.524502,-5.915141400e+02,-3.846062082e+02,-5.351975067e+02,-3.282895749e+02,55.003829,-1.280544098e+03,-9.173840740e+02,-1.200704814e+03,-8.375447901e+02,-16.690922,5.308791032e+02,-8.270356501e+02,1.695471063e+02,-1.188367647e+03,-402.413981
825,1213.5983726,-1.208093914e+02,-1.148974867e+02,-1.221230172e+02,-1.162111124e+02,-0.492305,-5.980878806e+02,-3.911799488e+02,-5.366450967e+02,-3.297371649e+02,53.556239,-1.303603246e+03,-9.404432222e+02,-1.202832692e+03,-8.396726683e+02,-18.818800,5.210284804e+02,-8.368862728e+02,1.784001841e+02,-1.179514569e+03,-393.560903
850,1243.5381465,-1.204584362e+02,-1.145465314e+02,-1.220701031e+02,-1.161581983e+02,-0.439391,-5.915949751e+02,-3.846870433e+02,-5.380601343e+02,-3.311522025e+02,52.141202,-1.282216141e+03,-9.190561167e+02,-1.205319621e+03,-8.421595976e+02,-21.305729,5.160113895e+02,-8.419033637e+02,1.867734437e+02,-1.171141310e+03,-385.187644
875,1273.2611446,-1.213289204e+02,-1.154170157e+02,-1.220426573e+02,-1.161307525e+02,-0.411945,-5.964209887e+02,-3.895130569e+02,-5.393657487e+02,-3.324578169e+02,50.835587,-1.250723907e+03,-8.875638831e+02,-1.206737587e+03,-8.435775629e+02,-22.723694,4.789336002e+02,-8.789811531e+02,1.940948236e+02,-1.163819930e+03,-377.866264
900,1302.3467423,-1.210968070e+02,-1.151849022e+02,-1.220200191e+02,-1.161081144e+02,-0.389307,-5.993651079e+02,-3.924571761e+02,-5.406665679e+02,-3.337586361e+02,49.534768,-1.257537349e+03,-8.943773247e+02,-1.207903420e+03,-8.447433959e+02,-23.889527,4.409545295e+02,-9.169602238e+02,2.002393139e+02,-1.157675439e+03,-371.721773
925,1331.8275913,-1.242610874e+02,-1.183491826e+02,-1.220250351e+02,-1.161131304e+02,-0.394323,-5.953407813e+02,-3.884328495e+02,-5.419356844e+02,-3.350277526e+02,48.265651,-1.234178021e+03,-8.710179972e+02,-1.208745198e+03,-8.455851746e+02,-24.731306,4.729388897e+02,-8.849758636e+02,2.053830589e+02,-1.152531694e+03,-366.578028
950,1361.3930747,-1.237714515e+02,-1.178595467e+02,-1.220689574e+02,-1.161570527e+02,-0.438246,-5.913807743e+02,-3.844728425e+02,-5.430688773e+02,-3.361609455e+02,47.132459,-1.232718973e+03,-8.695589494e+02,-1.209177002e+03,-8.460169781e+02,-25.163110,4.228862097e+02,-9.350285436e+02,2.111138015e+02,-1.146800952e+03,-360.847286
975,1390.7054902,-1.228470087e+02,-1.169351039e+02,-1.221074712e+02,-1.161955664e+02,-0.476759,-5.889893290e+02,-3.820813972e+02,-5.440528183e+02,-3.371448865e+02,46.148518,-1.244301093e+03,-8.811410686e+02,-1.209773876e+03,-8.466138521e+02,-25.759984,4.051098736e+02,-9.528048797e+02,2.155658406e+02,-1.142348913e+03,-356.395247
1000,1419.4224809,-1.220803856e+02,-1.161684809e+02,-1.221157627e+02,-1.162038580e+02,-0.485051,-5.897956579e+02,-3.828877261e+02,-5.449805824e+02,-3.380726506e+02,45.220753,-1.255826174e+03,-8.926661505e+02,-1.210536587e+03,-8.473765628e+02,-26.522694,3.748883110e+02,-9.830264423e+02,2.192882168e+02,-1.138626536e+03,-352.672870
1025,1448.3238535,-1.230797127e+02,-1.171678079e+02,-1.221330498e+02,-1.162211450e+02,-0.502338,-5.902269714e+02,-3.833190396e+02,-5.458635202e+02,-3.389555884e+02,44.337816,-1.243239666e+03,-8.800796416e+02,-1.211422454e+03,-8.482624302e+02,-27.408562,3.866786704e+02,-9.712360829e+02,2.225812202e+02,-1.135333533e+03,-349.379867
1050,1477.4351911,-1.245034269e+02,-1.185915221e+02,-1.221502903e+02,-1.162383856e+02,-0.519578,-5.939041899e+02,-3.869962581e+02,-5.467880764e+02,-3.398801446e+02,43.413259,-1.222778310e+03,-8.596182865e+02,-1.212093175e+03,-8.489331507e+02,-28.079282,4.600476200e+02,-8.978671332e+02,2.261194784e+02,-1.131795275e+03,-345.841609
1075,1506.1529861,-1.237877446e+02,-1.178758398e+02,-1.221853152e+02,-1.162734105e+02,-0.554603,-5.905407012e+02,-3.836327694e+02,-5.476725426e+02,-3.407646108e+02,42.528793,-1.228425815e+03,-8.652657909e+02,-1.212420730e+03,-8.492607057e+02,-28.406837,4.559411842e+02,-9.019735691e+02,2.304778437e+02,-1.127436910e+03,-341.483244
1100,1535.0422774,-1.219366394e+02,-1.160247347e+02,-1.222017333e+02,-1.162898286e+02,-0.571021,-5.914057390e+02,-3.844978072e+02,-5.484729141e+02,-3.415649823e+02,41.728422,-1.212788475e+03,-8.496284515e+02,-1.212540398e+03,-8.493803736e+02,-28.526505,4.844041954e+02,-8.735105578e+02,2.352891566e+02,-1.122625597e+03,-336.671931
1125,1563.3854009,-1.214782304e+02,-1.155663257e+02,-1.221922348e+02,-1.162803300e+02,-0.561523,-5.935265707e+02,-3.866186389e+02,-5.492677361e+02,-3.423598043e+02,40.933600,-1.212358822e+03,-8.491987981e+02,-1.212538923e+03,-8.493788986e+02,-28.525030,4.359819569e+02,-9.219327964e+02,2.392406734e+02,-1.118674080e+03,-332.720414
