j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1354,1820.187882186811219183600837,2.193852057901e+00,-0.311708535,2.240829501328e+00,0.281099494,-4.305758396e+00,5.379382944e+02,-8.199764589e+02,2.740976182e+02,-1.083817135e+03,4.642432494e+04,7.459708070e+05
1355,1821.305708365203909060315674,1.661822854275e+00,-0.357195163,1.655381920301e+00,-1.745044935,5.739810800e-01,5.385122754e+02,-8.194024778e+02,2.742595504e+02,-1.083655203e+03,4.642763571e+04,7.460285130e+05
1356,1822.427671440302586928807853,1.548373434941e+00,-0.241707102,1.644732710097e+00,2.819043140,3.119828814e+00,5.416321042e+02,-8.162826490e+02,2.744222355e+02,-1.083492518e+03,4.643092517e+04,7.460822464e+05
1357,1823.766265895773287956296196,1.726681023903e+00,0.451019647,1.975283131555e+00,-0.135899769,-3.914141370e+00,5.377179629e+02,-8.201967904e+02,2.746183602e+02,-1.083296393e+03,4.643487574e+04,7.461421237e+05
1358,1825.213676893013383353733072,3.109802231253e+00,1.075695425,3.272194681750e+00,-1.026393302,-3.389388390e+00,5.343285745e+02,-8.235861788e+02,2.748270005e+02,-1.083087753e+03,4.644142013e+04,7.462498790e+05
1359,1825.915683614928409365476644,4.746938978681e+00,0.274707004,5.019571284093e+00,0.246535445,-9.735596541e+00,5.245929779e+02,-8.333217753e+02,2.749267707e+02,-1.082987983e+03,4.645145927e+04,7.464142981e+05
1360,1826.795455271492655557558674,4.299799926254e+00,-0.308103612,4.807173594935e+00,-0.981224981,-5.345623047e+00,5.192473549e+02,-8.386673984e+02,2.750470081e+02,-1.082867745e+03,4.646107362e+04,7.465631579e+05
1361,1828.211270499973141933934055,7.031104884018e+00,0.328780715,7.772263505341e+00,-2.346043729,1.087950258e+01,5.301268575e+02,-8.277878958e+02,2.752361234e+02,-1.082678630e+03,4.647661814e+04,7.468063876e+05
1362,1828.621091758031140727573016,6.195501070848e+00,-1.492887259,6.757137765016e+00,-2.172491794,7.649633906e+00,5.377764914e+02,-8.201382619e+02,2.752932482e+02,-1.082621505e+03,4.649013242e+04,7.470206628e+05
1363,1829.832529709939702045809013,1.444268069834e+00,-1.003386318,1.642167566758e+00,-1.525968074,-1.471816995e-01,5.376293097e+02,-8.202854436e+02,2.754670248e+02,-1.082447728e+03,4.649341675e+04,7.470705807e+05
1364,1831.936379901815210814257718,1.113133076586e+00,2.019697110,1.028055705352e+00,1.506112607,-1.329042117e-01,5.374964055e+02,-8.204183478e+02,2.757680998e+02,-1.082146653e+03,4.649547287e+04,7.471090094e+05
1365,1832.984940243731554247653810,1.001364805075e+01,0.995520310,1.141675868930e+01,2.992205555,2.257920869e+01,5.600756142e+02,-7.978391391e+02,2.759178216e+02,-1.081996932e+03,4.651830638e+04,7.474545131e+05
1366,1833.273239032730321520861053,1.012679499150e+01,-0.474498161,1.163382552848e+01,1.065247024,-1.126824660e+01,5.488073676e+02,-8.091073857e+02,2.759625080e+02,-1.081952245e+03,4.654157403e+04,7.478038659e+05
1367,1834.721559748608499026127263,2.963446887862e+00,-0.223405127,3.437077042687e+00,-0.122353015,-6.822764306e+00,5.419846033e+02,-8.159301500e+02,2.761778905e+02,-1.081736863e+03,4.654844819e+04,7.479060177e+05
1368,1835.883754437692548567061628,3.343159067871e+00,0.334082526,3.793607850393e+00,-0.439689004,-6.865550738e+00,5.351190525e+02,-8.227957007e+02,2.763461578e+02,-1.081568595e+03,4.655603540e+04,7.480211855e+05
1369,1836.827672515957489640815384,2.998481746900e+00,-0.457960008,3.270532142479e+00,-0.696290269,-5.018479776e+00,5.301005727e+02,-8.278141805e+02,2.764791373e+02,-1.081435616e+03,4.656257647e+04,7.481244266e+05
1370,1838.086943305644553436012808,3.672096430278e+00,0.135819747,3.740636340200e+00,0.995662645,-4.069415609e+00,5.260311571e+02,-8.318835961e+02,2.766528930e+02,-1.081261860e+03,4.657005774e+04,7.482507743e+05
1371,1838.640288707650741070799645,2.799442690598e+00,-1.286979678,2.670866485080e+00,-1.584579667,7.362458938e-02,5.261047817e+02,-8.318099715e+02,2.767279442e+02,-1.081186809e+03,4.657539947e+04,7.483470671e+05
1372,1840.195563473357363106727497,1.198194321924e+00,-0.415157568,1.279796948070e+00,-0.000708398,-2.559593254e+00,5.235451885e+02,-8.343695648e+02,2.769387096e+02,-1.080976044e+03,4.657795907e+04,7.483882468e+05
1373,1841.478582570643394257082227,1.231901703040e+00,0.264662882,1.253334908847e+00,2.221156366,1.517720864e+00,5.250629093e+02,-8.328518439e+02,2.771105285e+02,-1.080804225e+03,4.658046574e+04,7.484305554e+05
1374,1842.875955278667221445726715,2.466089236111e+00,1.262758130,2.565507182743e+00,0.901920896,-3.181763215e+00,5.218811461e+02,-8.360336071e+02,2.772985400e+02,-1.080616213e+03,4.658559675e+04,7.485151869e+05
1375,1843.771057743069120456561057,4.758839372552e+00,0.712414610,5.230661703386e+00,0.012550855,-1.046049946e+01,5.114206467e+02,-8.464941066e+02,2.774172785e+02,-1.080497475e+03,4.659605808e+04,7.486784219e+05
1376,1844.759043650095888927068813,5.439888452989e+00,0.089945276,5.473901548368e+00,0.889057793,-6.898691445e+00,5.045219552e+02,-8.533927980e+02,2.775426022e+02,-1.080372151e+03,4.660700588e+04,7.488649180e+05
1377,1845.417534146424529184835946,5.082367084736e+00,-0.876017757,5.214503596026e+00,1.090864878,-4.815264198e+00,4.997066910e+02,-8.582080622e+02,2.776235940e+02,-1.080291159e+03,4.661743489e+04,7.490390949e+05
1378,1846.353253420516416602189404,2.552422694613e+00,-1.456039060,2.798859708072e+00,0.961514454,-3.203455595e+00,4.965032354e+02,-8.614115178e+02,2.777361442e+02,-1.080178609e+03,4.662303261e+04,7.491265243e+05
1379,1848.330980622383731433415372,3.415150318908e+00,0.901089389,3.651663278303e+00,0.523119461,-6.326615901e+00,4.901766195e+02,-8.677381337e+02,2.779702265e+02,-1.079944527e+03,4.663033593e+04,7.492433798e+05
1380,1848.722760910890866404390834,3.854619524311e+00,-0.858250978,4.283463256139e+00,0.393883741,-7.910918698e+00,4.822657008e+02,-8.756490524e+02,2.780151972e+02,-1.079899556e+03,4.663890286e+04,7.493752447e+05
1381,1850.601184047651463659879442,2.697624090470e+00,0.990438800,3.099221321780e+00,-2.731728365,5.685056074e+00,4.879507569e+02,-8.699639964e+02,2.782225184e+02,-1.079692235e+03,4.664510130e+04,7.494674355e+05
1382,1851.400361994589779203914371,3.738162241505e+00,0.322055904,4.148320680723e+00,0.600599834,-6.844702366e+00,4.811060545e+02,-8.768086987e+02,2.783130500e+02,-1.079601703e+03,4.665339794e+04,7.495951315e+05
1383,1852.342204733386277236302511,2.530929858005e+00,-0.286766473,2.531854715700e+00,0.539754645,-4.343826174e+00,4.767622284e+02,-8.811525249e+02,2.784161622e+02,-1.079498591e+03,4.665846165e+04,7.496815443e+05
1384,1853.519342920989503777937861,2.318501531705e+00,-0.110298112,2.473395661594e+00,0.033554740,-4.944006737e+00,4.718182216e+02,-8.860965316e+02,2.785421284e+02,-1.079372625e+03,4.666340844e+04,7.497606540e+05
1385,1854.855632115986727770019345,3.477517322097e+00,0.490141843,3.585994313962e+00,-3.072625532,7.154938735e+00,4.789731604e+02,-8.789415929e+02,2.786813698e+02,-1.079233383e+03,4.667058043e+04,7.498792250e+05
1386,1855.592934937055467317870717,4.568891837722e+00,-0.279300021,4.697976085262e+00,-1.067355247,-4.533006897e+00,4.744401535e+02,-8.834745998e+02,2.787609539e+02,-1.079153799e+03,4.667997638e+04,7.500349461e+05
