cap,x,k,y,K,MK,S,absS_over_sqrtx,S_real,resid_cesaro_Tmax,off_pred,abs_li_Tmax,abs_psi_Tmax,overshoot_li_Tmax,overshoot_psi_Tmax,overshoot_li_T2000,overshoot_psi_T2000,mean_absF
1000000000,997422723,9,80435,12400,14,791.039598439,0.025047166,790.592975917,-836.162122,823.159603,6.016862e+04,9.697903e+05,76.062714,1225.969321,63.664064,1023.516614,3.390704
1000000000,997485888,9,80435,12400,14,896.832879692,0.028396064,896.179925878,-887.081885,823.204976,6.017028e+04,9.698210e+05,67.091962,1081.384289,56.155595,902.807898,3.390704
1000000000,997549055,9,80435,12401,13,925.784811438,0.029311829,925.991607893,-860.674921,861.364000,6.017670e+04,9.699062e+05,65.000739,1047.658327,54.405761,874.656589,3.390687
1000000000,997612224,9,80435,12402,13,1056.199334662,0.033439903,1056.037057357,-936.470084,861.410204,6.017836e+04,9.699369e+05,56.976324,918.327482,47.689308,766.682383,3.390687
1000000000,997675395,9,80435,12403,14,942.459224354,0.029837878,939.111875785,-768.276706,823.299460,6.017503e+04,9.699104e+05,63.848944,1029.127191,53.441216,859.180321,3.390674
1000000000,997738568,9,80435,12404,14,1194.110007611,0.037803844,1194.713947955,-974.061925,823.305422,6.017669e+04,9.699411e+05,50.394591,812.271160,42.179996,678.135222,3.390674
1000000000,997801743,9,80435,12404,14,1299.864519817,0.041150580,1299.319784055,-1032.092034,823.329969,6.017834e+04,9.699718e+05,46.295859,746.209942,38.749379,622.983148,3.390674
1000000000,997864920,9,80435,12405,13,1396.424558649,0.044206039,1395.108251370,-1083.734200,861.470548,6.018525e+04,9.700624e+05,43.099537,694.675865,36.074416,579.963167,3.390719
1000000000,997928099,9,80435,12406,14,1497.421019504,0.047401742,1498.116828842,-1148.925868,823.357291,6.018156e+04,9.700322e+05,40.190138,647.801917,33.638900,540.825493,3.390662
1000000000,997991280,9,80435,12407,15,1591.799280955,0.050387746,1592.801454850,-1209.766938,785.245866,6.017819e+04,9.700044e+05,37.805138,609.376048,31.642274,508.740504,3.390615
1000000000,998054463,9,80435,12408,15,1491.495089532,0.047211164,1488.971524685,-1074.668293,785.267683,6.017985e+04,9.700351e+05,40.348675,650.377642,33.771171,542.970881,3.390615
1000000000,998117648,9,80435,12408,15,1430.213736991,0.045269957,1430.145346595,-987.903553,785.270720,6.018151e+04,9.700658e+05,42.078682,678.266290,35.219159,566.253852,3.390615
1000000000,998180835,9,80435,12409,14,1471.115986749,0.046563145,1471.460070973,-1002.856535,823.431013,6.018824e+04,9.701554e+05,40.913323,659.468980,34.244329,550.567595,3.390660
1000000000,998244024,9,80435,12410,15,1378.257816234,0.043622656,1377.078139364,-886.755964,785.319269,6.018485e+04,9.701275e+05,43.667335,703.879527,36.548750,587.636141,3.390622
1000000000,998307215,9,80435,12411,15,1482.425427887,0.046918136,1482.263250490,-970.693373,785.312121,6.018650e+04,9.701582e+05,40.600022,654.439776,33.981465,546.361202,3.390622
1000000000,998370408,9,80435,12411,15,1444.218719060,0.045707463,1444.452113644,-912.642747,785.335965,6.018816e+04,9.701889e+05,41.675241,671.774197,34.881404,560.832901,3.390622
1000000000,998433603,9,80435,12412,15,1499.461358443,0.047454312,1500.644728771,-949.061873,785.338996,6.018982e+04,9.702196e+05,40.140962,647.045401,33.597241,540.187984,3.390622
1000000000,998496800,9,80435,12413,14,1434.315875278,0.045391179,1432.936912819,-860.367962,823.499214,6.019640e+04,9.703073e+05,41.968716,676.494878,35.127909,564.784483,3.390632
1000000000,998559999,9,80435,12414,13,1404.104383306,0.044433683,1406.560644403,-812.686346,861.680954,6.020333e+04,9.703978e+05,42.876675,691.115117,35.888767,577.001375,3.390654
1000000000,998623200,9,80435,12415,12,1481.040580837,0.046866890,1480.515947764,-864.887848,899.840009,6.021061e+04,9.704909e+05,40.654260,655.276357,34.029392,547.090440,3.390689
1000000000,998686403,9,80435,12415,12,1611.639188285,0.050998012,1609.075792364,-972.462723,899.845672,6.021227e+04,9.705216e+05,37.360886,602.195327,31.272694,502.773071,3.390689
1000000000,998749608,9,80435,12416,12,1511.582033366,0.047830334,1510.639424020,-852.902731,899.872093,6.021393e+04,9.705523e+05,39.835038,642.077160,33.343666,536.070426,3.390689
1000000000,998812815,9,80435,12417,13,1436.270205725,0.045445836,1438.151976109,-760.747865,861.778262,6.021009e+04,9.705215e+05,41.921145,675.723454,35.088957,564.151305,3.390658
1000000000,998876024,9,80435,12418,12,1638.665123882,0.051848287,1637.204531546,-938.472653,899.940047,6.021717e+04,9.706132e+05,36.747697,592.319455,30.759411,494.527364,3.390689
1000000000,998939235,9,80435,12419,13,1819.885106491,0.057580368,1818.970271687,-1102.541260,861.853537,6.021349e+04,9.705834e+05,33.086425,533.321266,27.694119,445.262299,3.390658
1000000000,999002448,9,80435,12419,13,2112.484357542,0.066835965,2110.098384571,-1376.837794,861.879230,6.021515e+04,9.706141e+05,28.504425,459.465716,23.858877,383.601356,3.390658
1000000000,999065663,9,80435,12420,13,2002.392097291,0.063350800,2004.230272710,-1256.799214,861.925504,6.021681e+04,9.706448e+05,30.072437,484.742648,25.171340,404.704705,3.390658
1000000000,999128880,9,80435,12421,12,1995.919867377,0.063144037,1994.380235136,-1234.892371,900.087148,6.022364e+04,9.707347e+05,30.173373,486.359578,25.256343,406.060468,3.390687
1000000000,999192099,9,80435,12422,13,1737.687234447,0.054972706,1737.078703958,-971.864961,861.977420,6.022022e+04,9.707071e+05,34.655386,558.620160,29.007428,466.384625,3.390661
1000000000,999255320,9,80435,12422,13,1730.010484173,0.054728116,1731.221950757,-963.677238,862.002813,6.022188e+04,9.707378e+05,34.810125,561.116733,29.136948,468.468980,3.390661
1000000000,999318543,9,80435,12423,12,1846.337059746,0.058406208,1845.588412984,-1079.390922,900.148194,6.022851e+04,9.708259e+05,32.620538,525.811821,27.304670,438.998467,3.390682
1000000000,999381768,9,80435,12424,12,2017.047414035,0.063804366,2017.189782047,-1258.763969,900.174737,6.023017e+04,9.708566e+05,29.860561,481.325603,24.994461,401.857078,3.390682
1000000000,999444995,9,80435,12425,12,2072.012567787,0.065540981,2072.794937979,-1327.521264,900.201236,6.023183e+04,9.708873e+05,29.069238,468.572097,24.332092,391.209219,3.390682
1000000000,999508224,9,80435,12426,13,1970.696219476,0.062334215,1969.552379396,-1243.994194,862.089193,6.022889e+04,9.708646e+05,30.562241,492.650544,25.581482,411.308836,3.390690
1000000000,999571455,9,80435,12426,13,1800.451534701,0.056947480,1800.714600995,-1098.948583,862.093930,6.023055e+04,9.708953e+05,33.453026,539.250991,28.001152,450.215066,3.390690
1000000000,999634688,9,80435,12427,13,1772.003461874,0.056045908,1772.880597640,-1099.788689,862.119415,6.023221e+04,9.709260e+05,33.991024,547.925557,28.451471,457.457371,3.390690
1000000000,999697923,9,80435,12428,13,1760.903442273,0.055693069,1760.050369327,-1120.089501,862.128269,6.023387e+04,9.709567e+05,34.206231,551.396896,28.631606,460.355557,3.390690
1000000000,999761160,9,80435,12429,13,1527.896325125,0.048322095,1527.223916042,-924.331601,862.153721,6.023553e+04,9.709874e+05,39.423833,635.506078,32.998890,530.577441,3.390690
1000000000,999824399,9,80435,12430,14,1501.069590006,0.047472157,1499.589425797,-938.308753,824.061636,6.023340e+04,9.709719e+05,40.126984,646.853336,33.587180,540.048427,3.390740
1000000000,999887640,9,80435,12430,14,1616.784247142,0.051130080,1615.320088013,-1097.267046,824.086239,6.023505e+04,9.710026e+05,37.256087,600.576472,31.184175,501.412547,3.390740
1000000000,999950883,9,80435,12431,15,1359.190582606,0.042982436,1357.914753259,-886.426855,785.953666,6.023336e+04,9.709905e+05,44.315609,714.388779,37.092870,596.430039,3.390803
