run_xmax,x,D,M_x,E_rec,sum_abs_Ed,C_pnt,absE_over_sqrtD,absE_rec_over_sqrtx,ratio_E_to_sqrtD_pred,saving_factor
5e7,25404440,5038,1069,-450.598999,20747.751180,167.802001,292.308840,0.089400,1.541517,46.044823
5e7,26326098,5129,1007,-437.264869,21602.026471,132.470263,301.632507,0.085222,1.449661,49.402612
5e7,27281193,5221,122,145.748213,22414.615416,413.496426,310.209037,0.027904,0.469839,153.789985
5e7,28270938,5315,-305,495.023206,22463.153747,685.046412,308.119437,0.093101,1.606595,45.377981
5e7,29296590,5411,-31,328.295373,22712.039790,625.590746,308.757399,0.060654,1.063279,69.181724
5e7,30359453,5508,-1888,1674.410051,23471.648835,1460.820102,316.261723,0.303889,5.294381,14.017862
5e7,31460875,5607,-1160,1174.450416,23936.134306,1188.900832,319.660324,0.209387,3.674058,20.380711
5e7,32602257,5708,-1442,1421.619339,25282.401150,1401.238678,334.638832,0.248977,4.248220,17.784227
5e7,33785047,5810,-1084,1109.712060,25975.601578,1135.424120,340.782707,0.190919,3.256363,23.407515
5e7,35010748,5915,1829,-1015.271224,26377.348213,-201.542448,342.968124,0.171586,2.960250,25.980593
5e7,36280916,6021,1629,-890.058540,26582.134587,-151.117080,342.574899,0.147768,2.598143,29.865603
5e7,37597166,6130,1812,-1076.644699,26852.420427,-341.289398,342.967684,0.175588,3.139202,24.940837
5e7,38961168,6240,479,69.359325,27567.837897,617.718651,348.987934,0.011112,0.198744,397.464043
5e7,40374656,6352,-881,1054.504391,27810.681513,1228.008783,348.944524,0.165956,3.021983,26.373225
5e7,41839424,6466,-338,677.026325,28545.992942,1016.052650,354.999142,0.104668,1.907121,42.163786
5e7,43357333,6583,390,186.687090,29826.989983,763.374181,367.618620,0.028352,0.507828,159.769965
5e7,44930310,6701,-485,738.168353,30557.319250,991.336707,373.289215,0.110125,1.977470,41.396138
5e7,46560355,6822,-762,911.974465,31889.330220,1061.948930,386.090877,0.133652,2.362072,34.967350
5e7,48249536,6944,-529,799.718923,33034.999095,1070.437846,396.432675,0.115131,2.017288,41.308262
5e7,50000000,7069,-908,1117.684101,34000.128705,1327.368201,404.391083,0.158064,2.763869,30.420160
1e8,10000,98,-23,26.088798,129.797155,29.177596,13.111493,0.260888,1.989766,4.975206
1e8,10393,100,-31,35.032769,120.411256,39.065537,12.041126,0.343640,2.909426,3.437104
1e8,10801,102,-18,24.027597,113.605916,30.055193,11.248662,0.231195,2.136040,4.728143
1e8,11226,104,2,9.124194,139.161990,20.248388,13.645956,0.086116,0.668637,15.251976
1e8,11667,106,22,-3.890477,126.412878,14.219045,12.278304,0.036018,0.316858,32.492896
1e8,12125,108,13,1.071845,133.493420,15.143690,12.845410,0.009734,0.083442,124.545445
1e8,12601,110,-2,20.878152,125.530597,39.756305,11.968873,0.185990,1.744371,6.012534
1e8,13096,112,-11,23.987410,156.434115,36.974819,14.781634,0.209611,1.622785,6.521509
1e8,13611,115,6,7.965806,142.667232,21.931612,13.303788,0.068279,0.598762,17.909956
1e8,14146,117,18,1.123509,142.732326,20.247018,13.195608,0.009446,0.085143,127.041574
1e8,14702,119,7,3.086112,177.907316,13.172224,16.308737,0.025452,0.189231,57.647720
1e8,15279,122,-3,13.495011,157.438179,23.990022,14.253783,0.109176,0.946767,11.666399
1e8,15879,124,-23,29.497177,186.440685,35.994355,16.742868,0.234082,1.761776,6.320628
1e8,16503,126,-26,32.678976,165.492556,39.357952,14.743249,0.254382,2.216538,5.064190
1e8,17152,129,-20,27.395357,191.096929,34.790713,16.825146,0.209180,1.628239,6.975523
1e8,17826,132,-3,15.962180,172.220725,28.924360,14.989890,0.119554,1.064863,10.789298
1e8,18526,134,-25,34.086732,194.260173,43.173464,16.781523,0.250435,2.031206,5.698997
1e8,19254,137,43,-13.401580,174.356202,16.196839,14.896256,0.096582,0.899661,13.010123
1e8,20010,139,23,-1.406040,188.257563,20.187921,15.967798,0.009940,0.088055,133.892076
1e8,20797,142,44,-19.800429,191.476992,4.399141,16.068392,0.137301,1.232260,9.670345
1e8,21614,145,3,16.297910,176.322037,35.595820,14.642748,0.110857,1.113036,10.818690
1e8,22463,148,-26,29.755455,209.621694,33.510909,17.230797,0.198533,1.726876,7.044816
1e8,23345,151,-38,42.619343,191.804398,47.238686,15.608821,0.278939,2.730465,4.500407
1e8,24263,154,-63,63.393666,211.541242,63.787332,17.046479,0.406981,3.718872,3.336946
1e8,25216,157,-7,16.110449,219.793944,25.220899,17.541466,0.101454,0.918421,13.642943
1e8,26207,160,3,18.306818,219.093672,39.613635,17.320876,0.113085,1.056922,11.967873
1e8,27236,163,-2,17.236671,215.118228,32.473342,16.849360,0.104444,1.022987,12.480265
1e8,28306,166,5,7.191420,224.302864,19.382839,17.409279,0.042744,0.413080,31.190346
1e8,29418,170,-5,24.184274,245.258841,43.368548,18.810494,0.141002,1.285680,10.141253
1e8,30574,173,32,-9.203386,209.550259,13.593228,15.931811,0.052635,0.577674,22.768822
1e8,31775,176,47,-16.804847,270.712204,13.390306,20.405700,0.094274,0.823537,16.109174
1e8,33024,180,13,6.956016,221.970530,26.912033,16.544706,0.038278,0.420438,31.910582
1e8,34321,183,-26,35.564760,278.938893,45.129520,20.619756,0.191973,1.724791,7.843126
1e8,35670,187,-22,27.981025,267.894341,33.962049,19.590374,0.148154,1.428305,9.574143
1e8,37071,191,-16,27.787964,269.853726,39.575928,19.525930,0.144324,1.423131,9.711173
1e8,38528,194,-15,34.406470,262.355211,53.812940,18.836006,0.175288,1.826633,7.625171
1e8,40042,198,-10,33.098227,261.189034,56.196454,18.561896,0.165404,1.783127,7.891330
1e8,41615,203,-17,32.846669,303.408355,48.693339,21.295092,0.161015,1.542453,9.237112
1e8,43250,206,-44,49.790901,322.292645,55.581802,22.455193,0.239418,2.217345,6.472923
1e8,44949,210,0,27.063461,317.099017,54.126923,21.881911,0.127651,1.236796,11.716868
1e8,46715,214,38,-14.078933,328.387831,9.842134,22.448130,0.065139,0.627176,23.324767
1e8,48550,218,83,-36.702361,340.081977,9.595279,23.033258,0.166571,1.593451,9.265943
1e8,50458,223,7,18.599299,354.444206,44.198597,23.735340,0.082800,0.783612,19.056859
1e8,52440,228,10,6.961714,358.178454,23.923429,23.720948,0.030401,0.293484,51.449749
1e8,54501,231,9,9.429295,328.854255,27.858591,21.637021,0.040390,0.435795,34.875803
1e8,56642,236,-30,47.094067,337.385551,64.188135,21.961929,0.197878,2.144350,7.164078
1e8,58867,241,-61,68.580532,429.102654,76.161063,27.640932,0.282660,2.481122,6.256916
1e8,61180,245,-66,73.365674,387.862969,80.731348,24.779656,0.296612,2.960722,5.286709
1e8,63584,250,-49,52.960149,370.910540,56.920297,23.458442,0.210027,2.257616,7.003578
1e8,66082,255,9,17.341647,370.218420,43.683293,23.183977,0.067460,0.748001,21.348516
1e8,68678,260,51,-9.960937,422.158894,31.078126,26.181183,0.038009,0.380462,42.381445
1e8,71377,265,30,4.724243,411.571707,39.448486,25.282649,0.017683,0.186857,87.119084
1e8,74181,270,48,-7.023943,386.885251,33.952115,23.545087,0.025789,0.298319,55.080924
1e8,77096,276,9,9.712436,426.153287,28.424872,25.651413,0.034979,0.378632,43.877074
1e8,80125,281,4,24.587602,408.242130,53.175204,24.353684,0.086862,1.009605,16.603576
1e8,83273,287,-37,58.099798,428.513540,79.199596,25.294354,0.201337,2.296947,7.375474
1e8,86544,292,31,9.499034,414.676821,49.998067,24.267125,0.032289,0.391436,43.654632
1e8,89945,298,16,7.622152,515.995462,31.244305,29.890815,0.025415,0.255000,67.696819
1e8,93478,304,-54,68.193522,518.648514,82.387044,29.746532,0.223043,2.292486,7.605539
1e8,97151,310,-97,99.742415,553.019035,102.484830,31.409371,0.320005,3.175562,5.544472
1e8,100968,316,-5,36.497127,528.894401,67.994254,29.752635,0.114859,1.226686,14.491398
1e8,104935,322,-21,52.459147,559.477382,83.918295,31.178456,0.161943,1.682545,10.665011
1e8,109058,328,4,29.440214,545.025596,62.880428,30.094004,0.089148,0.978275,18.512963
1e8,113343,335,49,-7.133265,584.382344,34.733470,31.928218,0.021188,0.223416,81.923544
1e8,117796,341,79,-26.803375,611.467776,25.393250,33.112837,0.078095,0.809456,22.813089
