k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
6,593,352835,30,160.66666666666666,160.66666666622586,108.44891270393938
6,630,398160,30,0.0,-9.814054161931077e-10,115.20416659131735
6,670,450240,30,0.0,-1.3521154566357532e-10,122.50714264890844
6,713,509795,30,160.66666666666666,160.6666666674167,130.35784083309554
7,714,511224,2,0.0,0.0,505.5808540678731
7,761,580643,2,112.5,112.5,538.8149032831219
7,812,660968,2,0.0,0.0,574.8773782294795
7,865,749955,2,112.5,112.5,612.3540642471478
7,922,851928,2,0.0,0.0,652.6591759869772
7,983,968255,2,112.5,112.5,695.7927133852438
7,1048,1100400,2,0.0,0.0,741.7546764261078
7,1118,1252160,2,0.0,0.0,791.252172192911
7,1192,1423248,2,0.0,0.0,843.578093598927
7,1270,1615440,2,0.0,0.0,898.7324407185934
7,1354,1836024,2,0.0,0.0,958.1294275827248
7,1444,2088024,2,0.0,0.0,1021.7690541409052
7,1539,2371599,2,112.5,112.5,1088.9442134471353
7,1641,2696163,2,112.5,112.5,1161.069119389539
7,1750,3066000,2,0.0,0.0,1238.1437719424994
7,1865,3481955,2,112.5,112.5,1319.4610642228138
7,1989,3960099,2,112.5,112.5,1407.142316896198
7,2120,4498640,2,0.0,0.0,1499.773316204819
7,2260,5112120,2,0.0,0.0,1598.7682758924134
7,2410,5812920,2,0.0,0.0,1704.8343027989554
7,2569,6604899,2,112.5,112.5,1817.2642900800092
7,2739,7507599,2,112.5,112.5,1937.4724514170518
7,2920,8532240,2,0.0,0.0,2065.458786807425
7,3113,9696995,2,112.5,112.5,2201.930403078172
7,714,511224,3,0.0,0.0,412.805038728938
7,761,580643,3,-388.0,-388.0,439.9405262835724
7,812,660968,3,-388.0,-388.0,469.38541377706514
7,865,749955,3,0.0,0.0,499.98499977499324
7,922,851928,3,0.0,0.0,532.8939857044738
7,983,968255,3,-388.0,-388.0,568.1123715134768
7,1048,1100400,3,0.0,0.0,605.6401571890689
7,1118,1252160,3,-388.0,-388.0,646.0546932471482
7,1192,1423248,3,0.0,0.0,688.7786291690531
7,1270,1615440,3,0.0,0.0,733.8119650155618
7,1354,1836024,3,0.0,0.0,782.3094017075341
7,1444,2088024,3,0.0,0.0,834.2709392038057
7,1539,2371599,3,0.0,0.0,889.1192271006178
7,1641,2696163,3,0.0,0.0,948.0089662023245
7,1750,3066000,3,0.0,0.0,1010.9401564880089
7,1865,3481955,3,-388.0,-388.0,1077.3354476051861
7,1989,3960099,3,0.0,0.0,1148.9268906244645
7,2120,4498640,3,-388.0,-388.0,1224.5597848478722
7,2260,5112120,3,0.0,0.0,1305.388830961871
7,2410,5812920,3,0.0,0.0,1391.9913792836505
7,2569,6604899,3,0.0,0.0,1483.790079492379
7,2739,7507599,3,0.0,0.0,1581.9396322236826
7,2920,8532240,3,0.0,0.0,1686.4400374753916
7,3113,9696995,3,-388.0,-388.0,1797.868645554137
7,714,511224,5,-72.4,-72.4,319.7574080455369
7,761,580643,5,-320.8,-320.79999999993305,340.77646632360046
7,812,660968,5,-320.8,-320.80000000019646,363.5843781022502
7,865,749955,5,0.0,-3.92901711165905e-10,387.2867154964136
7,922,851928,5,-320.8,-320.7999999996071,412.77790638550414
7,983,968255,5,0.0,0.0,440.0579507292193
7,1048,1100400,5,0.0,-5.355104804039001e-10,469.12684851754113
7,1118,1252160,5,0.0,-5.355104804039001e-10,500.4318135370692
7,1192,1423248,5,-320.8,-320.7999999984284,533.5256319990633
7,1270,1615440,5,0.0,-1.57160684466362e-09,568.4083039506021
7,1354,1836024,5,-72.4,-72.4,605.9742568789535
7,1444,2088024,5,-72.4,-72.4,646.2234907522319
7,1539,2371599,5,-72.4,-72.4,688.7087918707006
7,1641,2696163,5,-320.8,-320.7999999968568,734.3245876313825
7,1750,3066000,5,0.0,0.0,783.0708780180757
7,1865,3481955,5,0.0,-2.1420419216156004e-09,834.5004493707597
7,1989,3960099,5,-72.4,-72.40000000628643,889.9549426796842
7,2120,4498640,5,0.0,6.28642737865448e-09,948.5399306302292
7,2260,5112120,5,0.0,0.0,1011.1498405280989
7,2410,5812920,5,0.0,4.284083843231201e-09,1078.231886005974
7,2569,6604899,5,-72.4,-72.40000000628643,1149.3388534283526
7,2739,7507599,5,-72.4,-72.4,1225.3651700615617
7,2920,8532240,5,0.0,1.257285475730896e-08,1306.3108359039206
7,3113,9696995,5,0.0,1.257285475730896e-08,1392.6230645799315
7,714,511224,6,0.0,0.0,291.89724219320743
7,761,580643,6,171.0,171.00000000024647,311.0849294538926
7,812,660968,6,-25.0,-25.0,331.9056090718163
7,865,749955,6,146.0,145.9999999990141,353.5427838324522
7,922,851928,6,0.0,0.0,376.8129509451606
7,983,968255,6,171.0,171.0000000009859,401.7161103731506
7,1048,1100400,6,0.0,0.0,428.25226210727715
7,1118,1252160,6,-25.0,-24.99999999773475,456.8296546124533
7,1192,1423248,6,0.0,0.0,487.0400394218118
7,1270,1615440,6,0.0,3.943569026887417e-09,518.8834165783293
7,1354,1836024,6,0.0,-4.530496274431546e-09,553.1762829333883
7,1444,2088024,6,0.0,3.943569026887417e-09,589.9186384578809
7,1539,2371599,6,146.0,146.0000000045305,628.7022347661888
7,1641,2696163,6,146.0,146.0,670.3435686273122
7,1750,3066000,6,0.0,9.060992548863093e-09,714.8426400264607
7,1865,3481955,6,171.0,171.00000000906098,761.7912006142716
7,1989,3960099,6,146.0,146.0,812.4139954481336
7,2120,4498640,6,-25.0,-25.0,865.89452783427
7,2260,5112120,6,0.0,0.0,923.0492944583187
7,2410,5812920,6,0.0,1.5774276107549667e-08,984.2865436446848
7,2569,6604899,6,146.0,145.999999981878,1049.1980270663876
7,2739,7507599,6,146.0,146.00000001577428,1118.600241373119
7,2920,8532240,6,0.0,-3.1548552215099335e-08,1192.4931865633446
7,3113,9696995,6,171.0,171.00000003154855,1271.2851109540036
7,714,511224,10,-204.0,-204.0,226.10263156363308
7,761,580643,10,-229.0,-228.99999999996527,240.96535020620703
7,812,660968,10,102.0,102.00000000010422,257.0929792895948
7,865,749955,10,-127.0,-127.00000000006949,273.8530627909792
7,922,851928,10,102.0,101.99999999918619,291.87805672917585
7,983,968255,10,-127.0,-127.00000000027794,311.1679610756866
7,1048,1100400,10,0.0,-2.779415808618069e-10,331.7227758234276
7,1118,1252160,10,0.0,-2.779415808618069e-10,353.85872887354355
7,1192,1423248,10,102.0,102.00000000027794,377.2595923233762
7,1270,1615440,10,0.0,8.338247425854206e-10,401.92536620621496
7,1354,1836024,10,-204.0,-204.0,428.48850626358694
7,1444,2088024,10,-204.0,-203.99999999888823,456.94901247294536
7,1539,2371599,10,77.0,77.00000000111177,486.99065699456696
7,1641,2696163,10,-229.0,-229.00000000166764,519.2458955061658
7,1750,3066000,10,0.0,0.0,553.7147279962851
7,1865,3481955,10,-127.0,-127.00000000111177,590.0809266532854
7,1989,3960099,10,77.0,76.99999999888823,629.2931749192899
7,2120,4498640,10,0.0,1.1117663234472276e-09,670.7190171748524
7,2260,5112120,10,0.0,0.0,714.9909090331149
7,2410,5812920,10,0.0,2.223532646894455e-09,762.4250782863849
7,2569,6604899,10,77.0,77.00000001302105,812.7052971403594
7,2739,7507599,10,77.0,77.00000000444706,866.4640211803373
7,2920,8532240,10,0.0,2.223532646894455e-09,923.7012504051296
7,3113,9696995,10,-127.0,-127.0000000066706,984.7332126012609
7,714,511224,15,-679.6666666666666,-679.6666666666666,184.61202561046775
7,761,580643,15,-628.0666666666667,-628.0666666670222,196.74738456542016
7,812,660968,15,-628.0666666666667,-628.0666666662296,209.9155385704768
7,865,749955,15,0.0,-4.268561800320943e-10,223.6000894454204
7,922,851928,15,26.333333333333332,26.333333333333332,238.31743536720094
7,983,968255,15,-275.4,-275.40000000044915,254.06757631254985
7,1048,1100400,15,0.0,7.537892088294029e-10,270.8505122756832
7,1118,1252160,15,-275.4,-275.40000000125923,288.9244422566795
7,1192,1423248,15,26.333333333333332,26.333333335847904,308.03116725422444
7,1270,1615440,15,0.0,3.0132165799538294e-09,328.17068729549874
7,1354,1836024,15,-679.6666666666666,-679.6666666621672,349.85940033104725
7,1444,2088024,15,-679.6666666666666,-679.6666666666666,373.09730634246074
7,1539,2371599,15,-679.6666666666666,-679.666666661133,397.6262063798109
7,1641,2696163,15,26.333333333333332,26.333333330104747,423.96249834153963
7,1750,3066000,15,0.0,8.99890437722206e-09,452.1061822182926
7,1865,3481955,15,-275.4,-275.40000000503693,481.7990590830718
7,1989,3960099,15,-679.6666666666666,-679.6666666956696,513.8157257227537
7,2120,4498640,15,-275.4,-275.4000000106093,547.6397842864718
7,2260,5112120,15,0.0,0.0,583.7876326199452
7,2410,5812920,15,0.0,-1.4435499906539917e-08,622.517469634387
7,2569,6604899,15,-679.6666666666666,-679.6666666500348,663.5710964169551
7,2739,7507599,15,-679.6666666666666,-679.666666670128,707.4649107906342
7,2920,8532240,15,0.0,-2.4105732639630635e-08,754.1989127544537
7,3113,9696995,15,-275.4,-275.40000001291435,804.031301214905
7,714,511224,30,-804.5,-804.5,130.5404151977463
7,761,580643,30,-746.3666666666667,-746.3666666665883,139.12140980692607
7,812,660968,30,793.5,793.4999999999444,148.43270079961042
7,865,749955,30,47.13333333333333,47.13333333318466,158.10913952077533
7,922,851928,30,-198.5,-198.5,168.51587462313455
7,983,968255,30,592.6333333333333,592.6333333342916,179.65290609023464
7,1048,1100400,30,0.0,5.336914910003542e-10,191.5202339179858
7,1118,1252160,30,-545.5,-545.5000000006362,204.30043237023915
7,1192,1423248,30,-198.5,-198.4999999992889,217.81092718226972
7,1270,1615440,30,0.0,-8.629285730421543e-10,232.05171837329712
7,1354,1836024,30,-804.5,-804.499999999245,247.3879544359426
7,1444,2088024,30,-804.5,-804.499999990972,263.8196353571887
7,1539,2371599,30,851.6333333333333,851.6333333399632,281.16418690864595
7,1641,2696163,30,245.63333333333333,245.63333333452272,299.7867575460931
7,1750,3066000,30,0.0,1.5100037368635336e-09,319.68734726291564
