n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
28405,806900835,10031,10031,942.2702958417258,6844433.263659592,-5956559.953233939,432192689494118,1035.2799265590256,2599.3325458915315,100,3720.1661365279533,133580.21074487414,-234.407,-154.076,111.178,599.882,228.7,473.111,289.461,-138.126,-68.0848,-0.407398,-239.842,628.886,-474.24,-79.7649,0,0
28406,806957648,10032,10032,874.4578675680541,6944311.751525003,-6179635.189373335,432248726836301,957.3627303568919,2515.2658478090652,100,3906.473345090736,134579.61669609018,-277.024,-155.243,93.7941,672.199,161.183,509.979,267.701,-127.447,-61.624,-18.8387,-323.883,685.61,-461.188,-90.7605,0,0
28407,807014463,10033,10033,743.880440189766,6976154.312402785,-6422796.203105865,432305846610518,723.1814301875747,2444.472713098665,100,4028.8443786452326,133082.92431914015,-296.733,-208.256,120.464,706.407,173.781,491.605,263.629,-172.63,-95.4046,29.5644,-343.008,600.912,-465.336,-61.1145,0,0
28408,807071280,10033,10033,774.2829879093979,6880994.397382987,-6281480.252017082,432366209682691,703.0507375810012,2521.433293426031,100,3894.631025844589,132796.15097319387,-232.435,-198.374,144.073,660.774,118.2,530.526,267.489,-185.877,-148.148,43.4842,-297.16,569.911,-430.751,-67.4285,0,0
28409,807128099,10034,10034,884.6103231132483,6892855.305073025,-6110319.881314499,432423122582443,627.593890934535,2566.054790394919,100,3680.8748689869053,132910.60964576423,-253.23,-163.441,143.736,634.087,93.618,583.329,270.727,-144.866,-81.1782,53.8825,-248.511,503.363,-420.392,-86.5158,0,0
28410,807184920,10035,10035,724.2465796587621,6806832.363114638,-6282299.254967223,432482600442003,789.8623239537637,2395.7446563773,100,3683.164480534726,133818.46140520912,-219.016,-183.51,125.393,646.452,109.215,546.075,237.59,-176.116,-97.8163,25.9635,-244.803,513.017,-462.662,-95.5363,0,0
28411,807241743,10035,10035,877.2838695341834,6599639.419438144,-5830012.4316932745,432542887429361,778.1592968624127,2367.1691065210025,100,3620.6976612676463,130360.9192630526,-151.897,-155.528,172.159,601.762,102.689,525.935,252.701,-179.298,-71.7726,80.1492,-267.844,513.595,-413.22,-132.148,0,0
28412,807298568,10036,10036,742.864338661755,6514691.16066654,-5962843.735011173,432599876081164,664.8184623081961,2415.501023269486,100,3556.292429471956,131331.31990832224,-172.769,-123.651,167.757,565.177,55.2181,537.855,256.815,-209.551,-60.0768,39.496,-263.976,527.262,-440.808,-135.883,0,0
28413,807355395,10037,10037,746.9405758783141,6352203.513068611,-5794283.2891751835,432657901425966,720.5967448988058,2343.7891695258086,100,3602.595400822236,131047.48871324028,-170.734,-129.619,198.569,551.536,1.63345,645.594,258.615,-181.345,-74.2279,43.0329,-300.267,475.787,-428.455,-143.179,0,0
28414,807412224,10037,10037,839.9958365330185,6556187.459490772,-5850594.454097967,432714993694237,876.5650541202276,2593.8801901534307,100,3492.5169296334116,131796.70663433295,-185.692,-112.693,192.215,569.948,-12.8964,631.394,279.79,-172.591,-79.1876,38.313,-307.47,454.596,-369.789,-85.9415,0,0
28415,807469055,10038,10038,807.2543462532894,6596669.642607803,-5945010.063062978,432774150696525,1227.8618121519467,2669.4839426145845,100,3536.416310622287,133403.85742654622,-164.742,-181.715,216.129,559.251,-34.1319,612.14,275.841,-174.902,-26.994,81.5942,-306.826,426.88,-364.235,-111.034,0,0
28416,807525888,10039,10039,737.1084815947797,6621799.868514977,-6078470.954876016,432832679830210,1204.8508906171164,2572.4992642554344,100,3464.551005828889,133331.08009358152,-149.785,-139.74,166.769,576.767,-121.782,646.054,211.947,-133.283,5.35216,78.0727,-279.732,415.867,-417.258,-122.141,0,0
28417,807582723,10040,10040,639.5059101534534,6556395.9693196565,-6147428.160198459,432888334607388,1024.743270944684,2699.162359489579,100,3716.8773287998592,132137.97334426537,-214.921,-186.713,180.57,575.064,-141.14,677.912,253.934,-134.468,-6.18495,19.1901,-283.783,471.522,-460.07,-111.405,0,0
28418,807639560,10040,10040,742.0255354164683,6388816.2717232,-5838214.376513103,432945281951131,1017.8669537822543,2549.487857565414,100,3663.322549876205,131894.2780626314,-234.049,-151.792,151.418,595.579,-105.614,711.711,241.792,-160.397,7.96532,23.6854,-274.296,470.523,-431.558,-102.942,0,0
28419,807696399,10041,10041,331.0471468868209,6374483.641018495,-6264891.42755659,433000505010681,999.2655722473573,2773.2987012284866,100,3818.8295752152326,131281.39755735063,-303.27,-141.716,151.214,532.04,-145.146,712.448,211.155,-208.713,-41.6092,-10.1939,-360.368,468.082,-409.369,-123.506,0,0
28420,807753240,10042,10042,361.60871031635725,6413352.276247529,-6282591.41687087,433058121762991,884.9571391660029,2838.9946701809386,100,3661.789534537167,131483.06269606733,-313.483,-164.746,179.056,485.382,-132.334,723.247,209.95,-183.025,-23.1556,8.92866,-306.643,405.136,-412.925,-113.779,0,0
28421,807810083,10042,10042,444.2908535024335,6589870.59057089,-6392476.228064969,433115322344117,916.682261787806,2849.367268634953,100,3794.835167215132,132183.6778853321,-322.79,-135.724,200.899,480.892,-138.933,768.162,216.937,-135.953,-56.3142,15.9859,-354.188,436.687,-431.424,-99.9463,0,0
28422,807866928,10043,10043,428.4709117361954,6491038.078685253,-6307450.756481206,433173285302472,736.5803664735386,2973.989513747628,100,3736.987716029359,131846.55978613842,-327.088,-135.704,172.737,463.397,-101.18,752.899,237.294,-146.399,-32.4731,30.2555,-343.893,426.147,-416.392,-151.128,0,0
28423,807923775,10044,10044,387.1468740773262,6506650.834889032,-6356768.132781187,433232162981261,646.9559600073944,2786.6244614955476,100,3824.1229814641565,131226.55836359877,-302.48,-144.633,155.735,538.739,-122.656,723.814,232.279,-149.52,-65.5765,54.4559,-324.292,400.612,-466.317,-143.014,0,0
28424,807980624,10045,10045,270.9468667778974,6613016.842308778,-6539604.637692018,433291409739017,634.9123850924652,2746.587954618447,100,3873.7657706887794,132489.03014668205,-268.864,-145.667,163.512,535.407,-203.027,753.726,181.202,-128.637,-74.9333,78.0732,-351.936,360.436,-492.602,-135.743,0,0
28425,808037475,10045,10045,380.9682764019335,6717593.787228977,-6572456.959604317,433351714035279,844.8983621455563,2658.1511897117007,100,3817.8422183359626,133524.47004900273,-212.341,-177.547,221.504,523.797,-230.569,761.518,134.436,-112.218,-102.687,78.9287,-315.76,379.222,-428.154,-139.162,0,0
28426,808094328,10046,10046,187.8532344246414,6809589.863245993,-6774301.025562193,433406838714565,902.5728665377428,2854.1034832437217,100,3781.426555157639,131732.907563126,-290.81,-154.532,132.329,544.407,-239.935,795.434,77.2904,-99.0053,-136.64,109.984,-295.809,325.195,-498.835,-81.2201,0,0
28427,808151183,10047,10047,131.49991158477042,6526259.286185467,-6508967.0594386645,433462560534960,769.4204544220402,2956.4978941717463,100,3895.359223530647,131817.61375380174,-345.372,-174.466,178.423,519.851,-241.362,793.344,97.2704,-70.9389,-68.9414,75.3333,-348.411,349.207,-551.615,-80.8243,0,0
28428,808208040,10047,10047,256.52784922948376,6508012.425764343,-6442205.888334038,433521427388517,695.6420834178862,2940.863397691497,100,3814.3319660317047,131874.20639918314,-326.926,-199.402,196.295,520.454,-237.735,805.195,54.3132,-59.385,-97.6564,110.029,-282.839,349.144,-502.684,-72.2755,0,0
28429,808264899,10048,10048,531.4268985042108,6505470.437868907,-6223055.889415102,433579244789512,848.2021862596966,3124.7161815562495,100,3460.394349746257,131692.58793346363,-321.574,-154.287,183.276,545.003,-218.109,782.224,42.3579,-19.373,-56.7474,102.996,-210.692,340.053,-447.786,-35.9154,0,0
28430,808321760,10049,10049,713.2265444873692,6464118.995473189,-5955426.891711796,433636242727996,641.1917762420735,3020.44619047377,100,3587.7670895374476,132073.22880427467,-337.213,-145.276,211.304,596.493,-188.597,766.953,41.4677,32.5709,-63.1069,144.987,-187.728,356.721,-492.248,-23.1,0,0
28431,808378623,10049,10049,759.7390664753275,6447746.58784716,-5870543.138718358,433694521668238,831.4016984256086,2949.0979641169433,100,3660.2079718830046,131823.09544668806,-326.946,-160.112,264.333,544.04,-189.795,784.569,83.6377,23.1861,-88.7951,174.681,-189.168,335.526,-451.082,-44.3368,0,0
28432,808435488,10050,10050,853.4562901683566,6232962.886051761,-5504575.246823827,433752280029589,685.0133194952923,2867.258169613595,100,3809.9566976221868,130462.01040783696,-330.671,-172.053,319.301,515.69,-186.29,765.653,73.6134,-26.1324,-77.5489,227.677,-166.221,429.772,-458.857,-60.477,0,0
28433,808492355,10051,10051,1014.0535280850181,6329338.815610943,-5301034.257789271,433811004908508,437.0858779523933,2919.847169132767,100,3818.1293618456457,129707.67404248891,-305.489,-173.942,352.376,570.287,-207.609,749.501,78.842,18.0759,-71.257,217.882,-126.459,429.127,-491.828,-25.4535,0,0
28434,808549224,10052,10052,766.1189807806113,6233216.202562664,-5646277.909850341,433868969303794,891.3692801557718,2794.4705055977993,100,3945.620424183424,130935.49936384097,-311.299,-157.834,325.394,529.88,-285.987,828.411,83.7619,-35.2409,-105.763,153.856,-151.243,434.566,-497.263,-45.1213,0,0
28435,808606095,10052,10052,933.5512928352882,6367197.813942341,-5495679.797587903,433929128096651,865.5912143562855,2838.760342208134,100,3797.095976400985,132387.21614783455,-254.203,-150.674,300.571,557.418,-236.364,829.2,113.799,-50.6285,-100.659,182.487,-95.1026,381.849,-478.22,-65.9221,0,0
28436,808662968,10053,10053,1247.818882196444,6363970.381803327,-4806918.419037344,433988317323731,1039.5499472489373,3034.056702687003,100,3570.384503353226,132123.7322375257,-219.098,-137.619,332.582,514.172,-132.57,808.166,183.031,-43.6872,-92.9921,153.974,-96.59,417.178,-408.615,-30.112,0,0
28437,808719843,10054,10054,1198.8079187059657,6190514.509134045,-4753374.083181916,434044600523501,953.1465552583177,2830.0697500036113,100,3571.0685710082953,130421.73612126161,-253.087,-117.41,337.7,587.649,-94.9552,756.128,146.758,-79.8668,-123.573,161.583,-132.822,395.121,-367.818,-16.5985,0,0
28438,808776720,10054,10054,1144.5744449271615,6213300.959150824,-4903250.299170503,434100930422139,744.0599315555373,2670.8439197898733,100,3563.9849556378676,130695.56277766428,-292.067,-98.3068,324.811,584.344,-96.2202,754.916,157.92,-130.931,-74.0846,115.061,-99.0923,415.526,-419.003,1.70112,0,0
28439,808833599,10055,10055,1135.7550946940446,6242181.194515775,-4952241.559392297,434158100602978,682.5177505889606,2854.356756656007,100,3482.668306300051,131008.1863976767,-314.141,-104.152,357.032,575.097,-51.4872,695.646,152.09,-133.116,-27.1787,166.56,-105.531,326.025,-437.851,36.7612,0,0
28440,808890480,10056,10056,1240.6707666686116,6100435.461696433,-4561171.510430353,434216813901895,629.6728720608553,2863.1564321845144,100,3459.1064761413245,130284.54713443911,-286.207,-80.999,400.083,552.675,-24.8728,679.785,130.193,-133.242,-70.27,159.748,-80.9,369.43,-432.726,57.9745,0,0
28441,808947363,10057,10057,1368.470317109599,6271641.157605809,-4398930.148795763,434278039538135,751.5326875442934,2890.5100128079303,100,3542.7895541793896,131504.6940310333,-209.366,-98.7949,409.297,555.366,-90.2618,753.686,138.168,-144.365,-53.4345,169.879,-83.6595,379.142,-407.278,50.0916,0,0
28442,809004248,10057,10057,1350.2516567637194,6366529.393824924,-4543349.857231755,434334123739349,846.8434937639086,2933.2374941010694,100,3619.246157834159,130866.024340706,-250.518,-79.696,420.451,572.165,-86.4721,767.414,126.396,-168.684,-65.6603,196.366,-87.5479,398.051,-395.919,3.90726,0,0
28443,809061135,10058,10058,1297.1706262281377,6323705.058596654,-4641053.425047555,434392005008354,921.1160249349095,2830.1415927773896,100,3686.776754157697,130376.93399634148,-253.762,-56.4427,396.766,566.686,-134.804,816.433,127.432,-164.008,-77.3535,186.424,-96.9453,398.232,-404.319,-7.16953,0,0
28444,809118024,10059,10059,1345.186747176741,6408775.44642034,-4599248.061640399,434452910981762,941.7595669261718,2894.8402255609253,100,3597.7618804873973,132286.89696230544,-188.998,-71.2948,414.861,490.59,-131.252,824.274,160.536,-156.061,-81.5216,179.119,-55.9053,395.368,-441.254,6.72703,0,0
28445,809174915,10059,10059,1523.388663033892,6520283.073704147,-4199570.055043958,434511270215533,1024.5262240217808,2580.093898637243,100,3590.857837144954,131328.84489816867,-178.328,-59.0954,400.169,513.162,-156.413,850.353,171.448,-98.7986,-87.6784,196.889,-3.71316,386.952,-449.708,38.1505,0,0
28446,809231808,10060,10060,1645.474257400051,6414865.116537811,-3707279.5847715614,434568428443088,970.9934195005699,2930.1672829576273,100,3378.6558012781124,129967.77563204584,-196.65,-32.8983,399.365,516.951,-126.863,809.374,135.612,-83.0479,-31.9135,197.225,40.1491,375.809,-395.218,37.58,0,0
28447,809288703,10061,10061,1778.010393206946,6446225.360856751,-3284904.4025048325,434626829974993,789.1939788434929,2581.2828290635707,100,3458.480500407836,130747.58980337455,-184.065,-12.6497,411.669,473.688,-158.846,827.92,162.711,-61.2977,39.4386,217.144,35.6957,431.228,-423.377,18.7516,0,0
