k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_max,Dpsi_rms,ratio_renewal,ratio_rawdisc,log10_rho
9,19179,367872399,10,-673.4,673.4,6065.2485439592665,6335.055690422654,3880.3180719845864,0.11102595303710648,0.10629740809035776,-69544.73873849282
9,19179,367872399,12,-3058.1666666666665,3058.1666666666665,5536.789074003091,4257.475154876709,3663.309526048853,0.552335771833117,0.7183052291364991,-69544.73873849282
9,19179,367872399,14,-784.3571428571429,784.3571428571429,5126.070612913114,3458.8366727903485,2399.1651795263633,0.1530133316699275,0.22676906054207474,-69544.73873849282
9,19179,367872399,15,-3226.3333333333335,3226.3333333333335,4952.254698619609,11272.896518692374,5152.115609530786,0.6514877625806769,0.2862026922702187,-69544.73873849282
9,19179,367872399,20,20255.4,20255.4,4288.77837501543,5945.351394072175,2568.474776747936,4.722883354849765,3.4069306685885197,-69544.73873849282
9,19179,367872399,21,18904.333333333332,18904.333333333332,4185.419129037651,5043.5834441185,3162.663634911816,4.5167121261951095,3.74819481878075,-69544.73873849282
9,19179,367872399,25,2132.8,2132.8,3835.9999947862357,9396.915686052293,4331.194159216769,0.5559958297442209,0.22696808945148722,-69544.73873849282
9,19179,367872399,28,-10256.785714285714,10256.785714285714,3624.6792912319447,8450.68553360179,4361.87047516381,2.8297084763048566,1.2137223274375162,-69544.73873849282
9,19179,367872399,30,-7390.033333333334,7390.033333333334,3501.7728795568682,11272.896518692374,5150.986205136311,2.1103691151633184,0.6555576307366439,-69544.73873849282
9,19179,367872399,35,1477.5428571428572,1477.5428571428572,3242.0117167321546,6738.140050139278,2882.5289586386193,0.4557487715165242,0.21928052046236648,-69544.73873849282
9,19179,367872399,49,-31458.14285714286,31458.14285714286,2739.9999962758825,8853.920146031305,3758.9629867177346,11.481074051058295,3.5530185881836425,-69544.73873849282
9,19179,367872399,63,-44358.142857142855,44358.142857142855,2416.4528608212963,8743.911436297,3601.613435585816,18.35671764027979,5.07303203838582,-69544.73873849282
9,19179,367872399,105,1760.3714285714286,1760.3714285714286,1871.77633737123,8177.356877988204,3000.572952744732,0.94048171965019,0.21527389043151504,-69544.73873849282
9,19179,367872399,210,6868.252380952381,6868.252380952381,1323.5457410197157,8177.356877988204,3000.5592963254785,5.189282219789993,0.8399110474730939,-69544.73873849282
9,19179,367872399,225,-58109.73333333333,58109.73333333333,1278.6666649287451,7789.027874242049,2672.7273896031384,45.44556836208094,7.460460313089841,-69544.73873849282
9,19179,367872399,441,-27095.04761904762,27095.04761904762,913.3333320919609,7152.540559396846,2037.5092763143946,29.66611057212516,3.7881711252165857,-69544.73873849282
9,20162,406546568,2,0.0,0.0,14257.394011529597,2071.3184301257133,2071.3184301257133,0.0,0.0,-69544.6359191817
9,20162,406546568,3,2678.3333333333335,2678.3333333333335,11641.113463353351,2612.1051885783672,1886.2583073922067,0.23007535677448934,1.0253543176762383,-69544.6359191817
9,20162,406546568,4,24866.0,24866.0,10081.499987601052,3863.370803207159,3011.4021406426846,2.4664980439996014,6.436348273729668,-69544.6359191817
9,20162,406546568,5,3868.8,3868.8,9017.167714975694,5272.513426169753,3313.9675236335875,0.4290482468874018,0.7337676905282936,-69544.6359191817
9,20162,406546568,6,-3319.5,3319.5,8231.510270499171,2602.401128023863,1880.948678725388,0.4032674309958312,1.2755527824877124,-69544.6359191817
9,20162,406546568,7,-1579.7142857142858,1579.7142857142858,7620.897659912324,7207.046935215592,4557.876077866716,0.2072871669729862,0.2191902314379794,-69544.6359191817
9,20162,406546568,9,-2121.6666666666665,2121.6666666666665,6720.999991734035,9676.108125701547,5316.760097788195,0.31567723095908995,0.21926859839764754,-69544.6359191817
9,20162,406546568,10,1358.0,1358.0,6376.100438355719,5267.661395907402,3313.212792745243,0.21298284321728841,0.2577994100104971,-69544.6359191817
9,20162,406546568,12,2853.8333333333335,2853.8333333333335,5820.556731676676,6858.3166046738625,4477.732213216961,0.49030246845669956,0.416112801119225,-69544.6359191817
9,20162,406546568,14,-1982.0,1982.0,5388.788414052696,7213.978407025337,4558.360696254824,0.3678006720084628,0.2747443765661716,-69544.6359191817
9,20162,406546568,15,1660.0,1660.0,5206.06420756922,8739.00364625454,4511.6410726825325,0.3188589179492805,0.18995300462100864,-69544.6359191817
9,20162,406546568,20,339.8,339.8,4508.583857487847,6510.809481061995,3431.7108345173037,0.0753673460981902,0.05219013104105979,-69544.6359191817
9,20162,406546568,21,19472.714285714286,19472.714285714286,4399.92731541697,7503.036505758762,3437.3189040688394,4.425689992078633,2.5953111477957633,-69544.6359191817
9,20162,406546568,25,-7651.0,7651.0,4032.5999950404207,7126.025360208005,3444.406526451437,1.8972871123864865,1.0736700493270026,-69544.6359191817
9,20162,406546568,28,-1288.7857142857142,1288.7857142857142,3810.448829956162,5950.014634400606,3218.659276183957,0.3382241231410372,0.2166021083098637,-69544.6359191817
9,20162,406546568,30,-4877.266666666666,4877.266666666666,3681.2433044647655,8739.00364625454,4510.122764873348,1.3248965806610267,0.5581032877537498,-69544.6359191817
9,20162,406546568,35,19800.514285714286,19800.514285714286,3408.169043426606,8477.577870458364,3140.903943873116,5.8097218868600065,2.3356334307128828,-69544.6359191817
9,20162,406546568,49,-2592.285714285714,2592.285714285714,2880.4285678860147,8020.468986647204,3623.61378449978,0.8999652840508479,0.32320874485038903,-69544.6359191817
9,20162,406546568,63,3035.7619047619046,3035.7619047619046,2540.2992199707746,7772.638803483918,3699.489976068408,1.195041072679946,0.39057030456647357,-69544.6359191817
9,20162,406546568,105,1462.4571428571428,1462.4571428571428,1967.7073146661005,7797.698065822944,3097.955436747744,0.7432290015679017,0.18754985516392905,-69544.6359191817
9,20162,406546568,210,-1449.9809523809524,1449.9809523809524,1391.3791855907714,7797.698065822944,3097.99088417037,1.042117754381455,0.18594987137757638,-69544.6359191817
9,20162,406546568,225,-8994.133333333333,8994.133333333333,1344.1999983468068,7209.63179821847,2649.7477575890825,6.691067805679929,1.2475163205360669,-69544.6359191817
9,20162,406546568,441,-21210.714285714286,21210.714285714286,960.1428559620049,6599.46226985706,2097.473463340172,22.091206692844096,3.2140064475546577,-69544.6359191817
9,21196,449312808,2,0.0,0.0,14988.542424131841,2469.4332683086395,2469.4332683086395,0.0,0.0,-69544.54491477323
9,21196,449312808,3,0.0,0.0,12238.093642393818,3658.119400382042,2719.8974943950634,0.0,0.0,-69544.54491477323
9,21196,449312808,4,24866.0,24866.0,10598.499988205878,2853.6629428863525,2036.0531267143022,2.346181065968877,8.713713040983443,-69544.54491477323
9,21196,449312808,5,3868.8,3868.8,9479.586573263625,5483.624390348792,3730.3843763602954,0.4081190640646317,0.7055187818496665,-69544.54491477323
9,21196,449312808,6,0.0,0.0,8653.639003332644,3648.4153398275375,2715.50668930545,0.0,0.0,-69544.54491477323
9,21196,449312808,7,0.0,0.0,8011.712925461072,7176.718593031168,5005.3788944496955,0.0,0.0,-69544.54491477323
9,21196,449312808,9,6614.333333333333,6614.333333333333,7065.666658803919,6862.92750403285,4656.244468921615,0.9361230373204461,0.9637772407542646,-69544.54491477323
9,21196,449312808,10,1358.0,1358.0,6703.0799487996555,5478.772360086441,3729.584430617486,0.20259343620736345,0.24786574632908717,-69544.54491477323
9,21196,449312808,12,1513.3333333333333,1513.3333333333333,6119.046821196909,7613.729162544012,5224.904049593907,0.2473152073442248,0.19876374651967207,-69544.54491477323
9,21196,449312808,14,0.0,0.0,5665.136538513437,7183.650064840913,5005.063870649676,0.0,0.0,-69544.54491477323
9,21196,449312808,15,-8116.0,8116.0,5473.041859880116,6861.598750762641,4392.894636156453,1.4829047918478329,1.1828147192515355,-69544.54491477323
9,21196,449312808,20,339.8,339.8,4739.793286631812,10052.388053938746,4488.361846959288,0.0716908901825692,0.03380291311643693,-69544.54491477323
9,21196,449312808,21,0.0,0.0,4625.564614184954,9897.675481379032,4539.091058671462,0.0,0.0,-69544.54491477323
