n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
15103,228130815,2836,-2497.701650,-557.611,-133.856,-128.65,-243.1,358.781,-397.099,-265.251,-176.142,-137.902,-183.166,-274.729,-358.976,0,0,0,0
15104,228161024,2836,-2356.250164,-494.094,-146.914,-148.24,-261.382,363.57,-382.841,-241.612,-138.895,-131.508,-167.272,-250.847,-356.216,0,0,0,0
15105,228191235,2836,-2476.178106,-511.676,-152.807,-141.716,-272.842,350.673,-373.966,-274.38,-150.503,-162.121,-172.245,-266.411,-348.185,0,0,0,0
15106,228221448,2837,-2513.736126,-515.25,-139.813,-142.196,-266.067,314.589,-362.961,-265.741,-120.822,-158.415,-204.572,-275.604,-376.884,0,0,0,0
15107,228251663,2837,-2337.482492,-499.922,-140.763,-141.562,-199.47,282.629,-356.15,-233.102,-127.358,-135.4,-146.475,-253.541,-386.368,0,0,0,0
15108,228281880,2838,-2390.803265,-540.585,-109.717,-188.051,-218.762,255.668,-322.213,-229.529,-128.247,-133.47,-137.347,-240.299,-398.251,0,0,0,0
15109,228312099,2838,-2225.387771,-506.348,-103.615,-145.481,-232.053,259.699,-299.086,-186.891,-113.354,-163.459,-114.656,-243.092,-377.054,0,0,0,0
15110,228342320,2838,-2289.620994,-522.101,-106.626,-179.861,-213.407,291.736,-323.276,-166.253,-110.959,-180.909,-113.546,-280.141,-384.277,0,0,0,0
15111,228372543,2839,-2456.156261,-594.954,-89.472,-189.182,-215.7,305.835,-332.337,-188.818,-139.139,-203.97,-134.819,-270.594,-403.006,0,0,0,0
15112,228402768,2839,-2435.428886,-550.797,-112.431,-166.684,-235.883,289.739,-304.276,-198.045,-139.813,-209.186,-106.121,-311.271,-390.66,0,0,0,0
15113,228432995,2839,-2448.160121,-562.74,-136.334,-134.898,-250.241,270.766,-268.216,-205.471,-142.713,-192.399,-114.192,-318.545,-393.176,0,0,0,0
15114,228463224,2840,-2392.282371,-518.673,-94.2409,-146.348,-208.306,222.799,-247.407,-194.905,-157.246,-223.544,-113.661,-300.715,-410.036,0,0,0,0
15115,228493455,2840,-2335.404619,-532.706,-99.0922,-135.51,-177.729,246.826,-290.349,-184.275,-153.571,-212.012,-114.843,-283.41,-398.734,0,0,0,0
15116,228523688,2841,-2306.365665,-537.73,-121.056,-116.91,-171.8,256.79,-302.289,-155.77,-124.892,-197.913,-156.185,-323.088,-355.524,0,0,0,0
15117,228553923,2841,-2337.423996,-577.852,-94.8553,-131.195,-184.11,251.876,-266.163,-140.001,-131.146,-230.051,-176.844,-288.772,-368.312,0,0,0,0
15118,228584160,2841,-2384.648607,-546.966,-83.7671,-156.429,-207.364,293.899,-264.235,-166.431,-161.109,-255.357,-177.887,-287.118,-371.883,0,0,0,0
15119,228614399,2842,-2584.364145,-594.179,-107.624,-135.662,-193.376,255.177,-290.428,-213.001,-172.931,-256.652,-171.742,-304.447,-399.5,0,0,0,0
15120,228644640,2842,-2502.567501,-553.382,-115.483,-121.903,-147.698,260.005,-310.31,-187.302,-156.61,-271.658,-172.766,-325.809,-399.651,0,0,0,0
15121,228674883,2842,-2437.156859,-549.685,-102.288,-134.143,-175.897,262.212,-298.255,-171.735,-119.507,-270.719,-147.893,-346.98,-382.267,0,0,0,0
15122,228705128,2843,-2339.398295,-532.979,-59.2049,-133.333,-213.861,286.231,-284.323,-161.964,-156.187,-263.786,-133.294,-327.339,-359.359,0,0,0,0
15123,228735375,2843,-2214.740695,-528.372,-66.9569,-92.4069,-246.184,326.374,-277.398,-161.814,-145.227,-240.001,-128.412,-289.034,-365.31,0,0,0,0
15124,228765624,2844,-2298.264242,-505.756,-69.8218,-84.7182,-254.214,263.577,-259.339,-179.836,-151.978,-261.449,-134.673,-285.605,-374.453,0,0,0,0
15125,228795875,2844,-2383.077073,-501.238,-98.6315,-133.743,-237.364,294.527,-311.158,-155.341,-127.945,-281.297,-142.404,-276.78,-411.702,0,0,0,0
15126,228826128,2844,-2313.214468,-556.712,-72.444,-202.003,-164.458,273.853,-288.362,-140.715,-120.701,-237.592,-118.812,-256.488,-428.781,0,0,0,0
15127,228856383,2845,-2275.888042,-528.285,-76.2014,-188.975,-171.609,308.93,-294.371,-125.211,-104.522,-254.736,-138.994,-279.386,-422.529,0,0,0,0
15128,228886640,2845,-2239.147964,-558.849,-64.0717,-138.128,-181.65,327.061,-294.321,-125.176,-99.7024,-265.428,-127.508,-271.001,-440.374,0,0,0,0
15129,228916899,2845,-2086.300157,-492.512,-33.7767,-176.222,-170.689,323.009,-251.949,-94.9541,-97.104,-261.868,-131.519,-265.542,-433.173,0,0,0,0
15130,228947160,2846,-2013.099959,-477.166,-65.5946,-155.266,-151.732,311.33,-246.215,-123.187,-94.9257,-239.17,-112.228,-234.051,-424.893,0,0,0,0
15131,228977423,2846,-1914.602584,-445.919,-63.3575,-106.251,-188.894,311.46,-243.973,-129.836,-92.969,-201.489,-138.73,-209.542,-405.102,0,0,0,0
15132,229007688,2847,-1840.215320,-414.663,6.87699,-122.36,-175.825,323.401,-212.989,-154.135,-80.5739,-211.01,-159.771,-230.477,-408.689,0,0,0,0
15133,229037955,2847,-1732.357833,-365.506,-18.8335,-67.3532,-169.873,352.53,-225.942,-195.305,-64.6884,-237.079,-156.538,-199.353,-384.416,0,0,0,0
15134,229068224,2847,-1641.340252,-357.34,-17.6568,-54.3518,-158.867,309.779,-168.829,-167.742,-65.3726,-259.593,-144.135,-165.851,-391.382,0,0,0,0
15135,229098495,2848,-1691.357009,-394.273,-23.3149,-64.2364,-136.978,335.223,-201.969,-147.108,-76.4057,-248.064,-176.761,-183.027,-374.441,0,0,0,0
15136,229128768,2848,-1590.356323,-365.198,-64.0858,-34.3002,-150.859,331.093,-192.733,-152.422,-51.3771,-226.669,-140.934,-175.629,-367.242,0,0,0,0
15137,229159043,2848,-1607.883180,-384.221,-47.8017,-38.1915,-164.917,343.216,-175.753,-153.588,-77.1315,-194.516,-105.232,-215.98,-393.768,0,0,0,0
15138,229189320,2849,-1510.648249,-382.235,-7.52027,-41.1473,-147.859,359.527,-162.772,-194.892,-71.7459,-189.441,-112.489,-185.251,-374.822,0,0,0,0
15139,229219599,2849,-1416.306960,-368.348,20.8162,-85.9862,-163.801,360.711,-146.661,-194.539,-51.9326,-201.514,-48.7629,-186.767,-349.521,0,0,0,0
15140,229249880,2850,-1556.105000,-428.452,-6.96015,-79.9498,-179.691,342.077,-173.677,-174.982,-24.6855,-208.499,-34.0874,-227.94,-359.258,0,0,0,0
15141,229280163,2850,-1841.790974,-538.656,4.42872,-102.796,-165.699,335.131,-213.446,-187.425,-45.154,-219.798,-76.2812,-270.013,-362.082,0,0,0,0
