k,n,X,Msm,sum_M_pi,Mplus,B,C,E,H=C-2E,float_resid
6,339,115599,-872,-965,-1837,-921.5239971258411,6.047994251682212,-43.47600287415855,93.0,6.821210263296962e-13
6,340,116280,-869,-952,-1821,-924.2466899813525,27.49337996270492,-27.75331001864771,83.0,3.410605131648481e-13
6,341,116963,-859,-969,-1828,-928.7863538021187,29.572707604237394,-40.21364619788105,110.0,5.115907697472721e-13
6,342,117648,-875,-950,-1825,-933.206015456308,41.412030912616046,-16.793984543692176,75.0,3.979039320256561e-13
6,343,118335,-874,-966,-1840,-936.9095340893115,33.819068178622956,-29.09046591068838,92.0,2.8421709430404007e-13
6,344,119024,-868,-986,-1854,-942.730413286874,31.46082657374791,-43.26958671312562,118.0,8.526512829121202e-13
6,345,119715,-868,-988,-1856,-946.414573256361,36.82914651272199,-41.58542674363838,120.0,1.2505552149377763e-12
6,346,120408,-878,-990,-1868,-951.9075211009746,35.815042201949154,-38.09247889902588,112.0,9.094947017729282e-13
6,347,121103,-906,-979,-1885,-956.7063870562013,28.41277411240253,-22.293612943798934,73.0,3.979039320256561e-13
6,348,121800,-907,-961,-1868,-961.7550735909587,55.51014718191732,0.7550735909595403,54.0,1.7621459846850485e-12
6,349,122499,-916,-958,-1874,-967.2695145350281,60.53902907005613,9.269514535028378,42.0,6.252776074688882e-13
6,350,123200,-923,-973,-1896,-972.9621402233738,49.924280446747616,-0.03785977662536766,50.0,1.6484591469634324e-12
6,351,123903,-929,-958,-1887,-978.3587088787411,69.71741775748228,20.358708878740913,29.0,4.547473508864641e-13
6,352,124608,-941,-962,-1903,-985.5626085976802,68.12521719536039,23.562608597680168,21.0,5.684341886080802e-14
6,353,125315,-960,-970,-1930,-991.3481612162641,52.69632243252818,21.348161216263918,10.0,3.410605131648481e-13
6,354,126024,-961,-971,-1932,-998.8581041166502,65.71620823330045,27.858104116649884,10.0,6.821210263296962e-13
6,355,126735,-968,-983,-1951,-1005.1729044591543,59.34580891830865,22.172904459154665,15.0,6.821210263296962e-13
6,356,127448,-973,-1033,-2006,-1011.5820013958079,17.164002791615758,-21.417998604191922,60.0,3.979039320256561e-13
6,357,128163,-976,-1048,-2024,-1017.1670252818541,10.33405056370816,-30.83297471814572,72.0,3.979039320256561e-13
6,358,128880,-980,-1039,-2019,-1023.5148372812741,28.02967456254828,-15.485162718726684,59.0,1.6484591469634324e-12
6,359,129599,-1001,-1000,-2001,-1030.1396614347339,59.279322869467705,30.139661434733227,-1.0,1.2505552149377763e-12
6,360,130320,-1008,-1008,-2016,-1037.1391941629545,58.27838832590896,29.139194162954453,0.0,5.684341886080802e-14
6,361,131043,-1020,-1007,-2027,-1044.1586717113587,61.317343422717386,37.15867171135832,-13.0,7.389644451905042e-13
6,362,131768,-1029,-1029,-2058,-1051.6983120392158,45.396624078431614,22.698312039216148,0.0,6.821210263296962e-13
6,363,132495,-1050,-1042,-2092,-1058.6210254981443,25.242050996288526,16.621025498143922,-8.0,6.821210263296962e-13
6,364,133224,-1056,-1016,-2072,-1064.966531367509,57.93306273501821,48.96653136750902,-40.0,1.7053025658242404e-13
6,365,133955,-1058,-1049,-2107,-1071.9343784224152,36.868756844830386,22.934378422414056,-9.0,2.2737367544323206e-12
6,366,134688,-1064,-1056,-2120,-1077.8620009577357,35.72400191547149,21.862000957735688,-8.0,1.1368683772161603e-13
6,367,135423,-1063,-1075,-2138,-1084.378897623195,30.757795246389833,9.378897623194263,12.0,1.3073986337985843e-12
6,368,136160,-1081,-1064,-2145,-1090.9156497537251,36.83129950745024,26.915649753725944,-17.0,1.6484591469634324e-12
6,369,136899,-1093,-1036,-2129,-1097.714267519827,66.42853503965398,61.714267519827615,-57.0,1.2505552149377763e-12
6,370,137640,-1109,-1028,-2137,-1105.4492837952962,73.89856759059239,77.44928379529654,-81.0,6.821210263296962e-13
6,371,138383,-1105,-1016,-2121,-1113.9035407474798,106.80708149495968,97.90354074747913,-89.0,1.4210854715202004e-12
6,372,139128,-1136,-1044,-2180,-1122.0256222257472,64.05124445149431,78.02562222574866,-92.0,3.0127011996228248e-12
6,373,139875,-1140,-1047,-2187,-1129.7478328201007,72.49566564020142,82.74783282010085,-93.0,2.8421709430404007e-13
6,374,140624,-1145,-1057,-2202,-1138.107599212547,74.21519842509406,81.10759921254532,-88.0,3.410605131648481e-12
6,375,141375,-1154,-1054,-2208,-1146.7227465424269,85.44549308485375,92.72274654242605,-100.0,1.6484591469634324e-12
