n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14388,207043320,13860,-115.410826,-327.485,39.7855,-32.6346,358.645,-156.552,466.519,-144.521,-9.66306,85.8099,-187.02,-118.677,-161.195,179.694,-108.118,0,0
14389,207072099,13862,-48.789500,-348.757,49.2397,-24.3006,378.951,-160.177,446.434,-146.489,-15.9855,44.4789,-167.376,-46.9249,-100.874,149.451,-106.459,0,0
14390,207100880,13864,119.386794,-341.02,94.5803,17.1413,341.132,-142.55,434.836,-109.838,15.1732,42.4626,-183.341,-56.4867,-75.668,195.353,-112.388,0,0
14391,207129663,13865,183.150157,-333.382,97.0871,53.5269,288.556,-118.919,466.495,-102.08,-21.7948,38.7514,-222.922,-11.7859,-46.4932,240.87,-144.759,0,0
14392,207158448,13867,-21.541814,-351.736,88.4803,22.9043,321.91,-188.551,480.149,-69.7707,-33.2708,8.65542,-228.553,-22.4051,-89.178,240.087,-200.264,0,0
14393,207187235,13869,-94.519220,-334.188,84.929,-6.60291,339.207,-219.054,479.002,-69.3998,-37.7402,-19.6618,-188.46,-40.3351,-104.737,241.165,-218.643,0,0
14394,207216024,13871,-220.642875,-338.632,98.3749,-12.2309,285.68,-200.554,476.397,-94.2969,-40.4349,1.32051,-238.394,-29.458,-140.648,229.127,-216.894,0,0
14395,207244815,13873,-78.774813,-311.175,117.876,-77.6284,331.852,-162.06,451.048,-104.856,-41.6235,43.4539,-224.092,-29.5825,-81.2631,255.046,-245.771,0,0
14396,207273608,13875,40.158598,-269.71,129.264,-77.2644,390.438,-154.443,430.638,-98.7557,-28.6691,43.6028,-218.122,-43.7373,-101.739,246.059,-207.404,0,0
14397,207302403,13877,41.068604,-293.343,124.818,-113.726,404.725,-166.076,435.421,-107.383,15.6373,9.20466,-220.972,-22.1181,-65.1014,230.013,-190.03,0,0
14398,207331200,13879,243.880786,-240.968,168.258,-112.254,358.067,-139.46,435.074,-114.803,81.3806,23.4222,-193.968,2.38432,-102.34,240.352,-161.264,0,0
14399,207359999,13881,154.971921,-268.692,177.754,-135.605,356.652,-158.716,462.341,-129.77,55.1975,26.1694,-164.836,-11.6474,-102.889,214.986,-165.972,0,0
14400,207388800,13883,97.272957,-290.407,164.247,-142.14,360.987,-186.358,512.246,-121.334,46.5066,-0.0102339,-241.95,7.88151,-103.708,296.551,-205.237,0,0
14401,207417603,13885,50.332879,-289.222,132.796,-91.5575,324.384,-157.806,468.959,-107.234,21.0911,-65.4133,-237.913,52.4128,-89.354,284.378,-195.187,0,0
14402,207446408,13887,244.355809,-223.028,159.231,-75.982,313.018,-114.258,445.677,-81.7272,29.5457,-76.1093,-178.677,43.9996,-77.4076,284.266,-204.193,0,0
14403,207475215,13889,150.702939,-245.933,153.832,-25.2907,290.292,-153.647,437.329,-100.56,23.4341,-60.3554,-193.05,47.8896,-81.2248,248.543,-190.555,0,0
14404,207504024,13891,211.632351,-218.829,165.319,-51.7796,279.919,-116.975,403.718,-49.2585,37.1009,-72.6815,-183.696,15.146,-98.2167,296.708,-194.842,0,0
14405,207532835,13892,173.295221,-227.824,162.862,-72.0963,295.366,-140.559,446.686,-82.9552,61.7647,-98.1682,-161.927,13.3402,-118.681,304.838,-209.351,0,0
14406,207561648,13894,100.487343,-234.81,169.403,-44.4755,277.809,-182.826,443.334,-88.5855,57.2172,-100.939,-192.768,7.206,-73.7194,273.46,-209.817,0,0
14407,207590463,13896,47.586235,-234.896,162.998,-50.7394,261.315,-184.219,442.921,-93.3547,35.9553,-82.0365,-174.11,47.9472,-114.196,254.543,-224.541,0,0
14408,207619280,13898,23.017690,-223.973,162.48,-68.0696,292.871,-256.619,476.366,-83.8474,52.1192,-89.2079,-156.505,28.9068,-121.901,212.608,-202.21,0,0
14409,207648099,13900,187.981434,-212.15,152.129,-50.398,309.369,-247.021,473.337,-67.6859,58.8573,-94.3076,-127.906,31.4502,-112.628,255.896,-180.961,0,0
14410,207676920,13902,248.722976,-171.317,156.663,-120.677,357.984,-191.291,413.724,-66.181,19.7439,-94.7863,-128.159,74.5516,-96.6553,278.318,-183.195,0,0
14411,207705743,13904,344.694153,-143.584,207.254,-126.838,345.479,-157.818,429.625,-74.1565,3.18751,-70.9521,-87.7578,34.8026,-58.9534,257.393,-212.987,0,0
14412,207734568,13906,236.304825,-179.841,196.841,-125.239,337.146,-144.286,424.331,-73.7867,-29.2183,-71.2837,-123.72,36.116,-83.9101,250.503,-177.348,0,0
14413,207763395,13908,369.767974,-182.199,213.484,-130.351,381.634,-158.502,442.973,-36.2872,-32.6981,-46.142,-124.796,52.0284,-71.1611,278.594,-216.81,0,0
14414,207792224,13910,414.089356,-150.547,212.013,-117.641,366.359,-167.972,470.874,-36.192,-43.8873,-59.8623,-135.469,133.691,-86.4965,238.758,-209.54,0,0
14415,207821055,13912,435.770521,-182.994,240.709,-98.7014,335.845,-183.058,488.258,-55.6866,-27.7219,-80.8755,-103.975,111.024,-103.928,277.69,-180.814,0,0
14416,207849888,13914,398.691543,-186.433,231.291,-81.9997,336.502,-177.661,510.286,-96.531,-1.91639,-98.5005,-92.2278,68.7465,-96.9336,266.182,-182.113,0,0
14417,207878723,13916,439.815728,-174.971,219.928,-35.1246,313.102,-170.945,493.794,-87.3711,16.8884,-80.9946,-81.7199,90.0867,-96.9206,256.871,-222.807,0,0
14418,207907560,13918,300.262721,-181.5,228.562,-87.2563,307.757,-204.227,492.563,-78.0055,24.1235,-34.4041,-111.315,92.5213,-136.459,213.107,-225.203,0,0
14419,207936399,13919,332.274385,-205.129,217.252,-32.3867,303.473,-204.576,463.201,-72.6412,19.8598,20.1265,-103.443,82.1465,-145.464,224.172,-234.318,0,0
14420,207965240,13921,172.480499,-214.748,197.829,-54.4681,318.061,-213.862,432.905,-70.4162,-19.1852,13.5612,-117.695,40.406,-158.848,234.091,-215.15,0,0
14421,207994083,13923,83.218775,-235.467,211.571,-109.606,348.71,-229.219,434.734,-96.8487,-21.8822,-19.2221,-157.902,76.0949,-109.531,222.536,-230.749,0,0
14422,208022928,13925,106.133788,-235.177,174.201,-91.6929,325.475,-202.382,426.174,-76.693,8.20626,-7.40706,-166.022,108.877,-101.165,192.462,-248.723,0,0
14423,208051775,13927,-183.797781,-320.987,173.885,-91.6064,337.063,-239.67,404.074,-133.258,-6.26715,-41.2629,-184.147,129.082,-124.193,182.194,-268.704,0,0
14424,208080624,13929,-265.247415,-334.787,171.567,-121.816,368.881,-238.155,384.899,-151.893,14.181,-49.8996,-235.186,123.175,-118.055,203.45,-281.608,0,0
14425,208109475,13931,-234.496159,-333.687,150.304,-105.737,363.581,-214.515,363.661,-128.673,19.9073,-40.075,-240.513,101.108,-116.431,232.897,-286.325,0,0
