r,abs_b,re_b,im_b
60,5.222172026290e-02,4.968280962458e-02,-1.608497730879e-02
61,6.409402971365e-03,1.847013001538e-03,-6.137506775678e-03
62,6.403118266135e-03,-2.632726649091e-03,-5.836837664462e-03
63,8.367234957606e-03,5.003873445468e-03,-6.706107021031e-03
64,6.798766160560e-03,1.531395268878e-03,-6.624050863062e-03
65,1.205964187598e-02,-9.751286090615e-03,-7.095588894228e-03
66,1.751683712551e-02,1.665025704825e-02,-5.441371436403e-03
67,6.789550767509e-03,9.279158084003e-04,-6.725843581077e-03
68,6.690234957007e-03,6.975056664707e-04,-6.653775591738e-03
69,1.005269360758e-02,-6.023695998634e-03,-8.048088921223e-03
70,2.806141464458e-02,2.801457286152e-02,1.620709486977e-03
71,6.104934371155e-03,4.015190667748e-05,-6.104802330994e-03
72,5.461861860447e-03,2.960564836152e-03,-4.589879174177e-03
73,5.490553157366e-03,-2.839315329532e-04,-5.483206804276e-03
74,8.357108434154e-03,-4.341529583306e-03,-7.140895059969e-03
75,9.281773097441e-02,-7.838886832798e-02,-4.970227867508e-02
76,4.293774625083e-03,-4.531059031606e-04,-4.269800413547e-03
77,3.841794422339e-03,-4.045543487985e-04,-3.820434551512e-03
78,1.345733010521e-02,1.189206240455e-02,6.299094008422e-03
79,2.910536916637e-03,-1.348618877365e-04,-2.907410774958e-03
80,1.289028575516e-02,-7.906350470188e-03,-1.018081966702e-02
81,2.673425212181e-03,2.644441311319e-03,3.925971422655e-04
82,5.481945083856e-03,-2.190086525548e-03,-5.025459472827e-03
83,1.665882166481e-03,1.064864193050e-03,-1.281104071869e-03
84,6.846498167849e-03,-2.325037019835e-03,-6.439622661210e-03
85,1.086946221203e-02,-3.960194158007e-03,-1.012235501302e-02
86,4.374851906165e-03,2.327268966061e-04,-4.368657390146e-03
87,6.309020451056e-03,-7.372471220625e-05,-6.308589677468e-03
88,3.396035281139e-03,3.387086586443e-03,-2.463738758031e-04
89,3.887299147899e-03,3.881216831023e-03,-2.173719757524e-04
90,1.200744220661e-01,4.110207709027e-02,1.128205925059e-01
91,4.836324584631e-03,4.824326788902e-03,-3.404504689198e-04
92,5.277702397196e-03,5.255209877555e-03,-4.867357971465e-04
93,8.557791545907e-03,4.536110935098e-03,-7.256686139532e-03
94,7.641795095114e-03,5.468910594326e-03,-5.337419712462e-03
95,1.346747348885e-02,5.515688383033e-03,-1.228617205781e-02
96,1.037550959199e-02,6.390136065690e-03,-8.174188666494e-03
97,6.955209278508e-03,6.708480378842e-03,-1.836090170591e-03
98,9.745844074344e-03,7.165693779808e-03,-6.605627099333e-03
99,6.508416595921e-03,6.459941938476e-03,7.928661536362e-04
100,1.413708829349e-02,3.974073665763e-03,1.356701897681e-02
101,7.497740399741e-03,6.798384757716e-03,-3.161973400896e-03
102,1.179586690136e-02,2.488637642536e-03,1.153035813142e-02
103,7.478143148997e-03,6.493452137849e-03,-3.709137944368e-03
104,7.397069128608e-03,6.269298694147e-03,-3.925878955976e-03
105,4.287413690714e-02,-1.387845610761e-02,4.056574998199e-02
106,1.124780701665e-02,7.716691416192e-03,-8.183265623880e-03
107,6.889072360876e-03,5.396846164997e-03,-4.281748412126e-03
108,3.598386815376e-03,3.281430113085e-03,-1.476686861190e-03
109,6.357643576389e-03,4.733882471828e-03,-4.243817690160e-03
110,2.293245548628e-02,-1.338084158707e-02,1.862392528582e-02
111,1.236482163631e-02,8.445505888265e-03,-9.031181782531e-03
112,5.355695924766e-03,3.795347738443e-03,-3.778731848498e-03
113,4.991248039481e-03,3.530293292812e-03,-3.528397123107e-03
114,1.094406820800e-02,-8.474784954082e-03,6.924640707173e-03
115,1.536569975350e-02,1.186761282290e-02,-9.760353210858e-03
116,3.930266747671e-03,2.968176696946e-03,-2.576222778324e-03
117,4.355090993555e-04,5.779162793604e-05,-4.316576228470e-04
118,7.819400593375e-03,6.689877093688e-03,-4.048279895342e-03
119,3.196722163689e-03,2.827833297744e-03,-1.490768738602e-03
120,4.579642007250e-02,-4.178436917022e-02,1.874509494518e-02
121,3.080583311897e-03,2.972612759413e-03,-8.084348607731e-04
122,7.569345055508e-03,7.325111518727e-03,-1.907282309346e-03
123,9.908946688235e-03,9.699313370332e-03,-2.027447808055e-03
124,3.477142728236e-03,3.477138896515e-03,-5.162060139444e-06
125,1.308238155041e-02,-1.271625461472e-02,3.073365517486e-03
126,1.832200470873e-02,1.826087648946e-02,-1.495408433695e-03
127,4.187048719981e-03,4.167914302744e-03,3.998341512152e-04
128,4.422361525378e-03,4.401104669083e-03,4.330810004154e-04
129,1.129986377513e-02,1.128622590938e-02,5.550009538818e-04
130,2.405730294333e-02,-2.399952519573e-02,-1.666317882724e-03
131,4.992412084581e-03,4.986781262698e-03,2.370465360952e-04
132,1.175119296292e-02,1.169011837500e-02,1.196523476770e-03
133,5.203364237741e-03,5.202362859492e-03,-1.020787381037e-04
134,9.564466245011e-03,9.526717119553e-03,8.489260721449e-04
135,4.595383304315e-02,4.431749005134e-02,1.215379969007e-02
136,5.202553371859e-03,5.141426347562e-03,-7.951708619125e-04
137,5.112134612696e-03,5.004768402918e-03,-1.042215683759e-03
138,1.226729504206e-02,-9.125074244127e-03,-8.198752812961e-03
139,4.795563375783e-03,4.552949938262e-03,-1.506012931830e-03
140,1.429032635715e-02,1.366433888607e-02,4.183212904023e-03
141,9.550461048266e-03,9.352463425613e-03,1.934614717981e-03
142,7.025927157943e-03,6.989215507822e-03,7.172998075743e-04
143,3.659782012595e-03,3.017451929728e-03,-2.070987260099e-03
144,4.377156546181e-03,1.043161419300e-04,-4.375913341498e-03
145,1.140914340807e-02,9.744967945935e-03,5.933308776609e-03
146,4.640935069725e-03,4.430908946908e-03,1.380334823733e-03
147,6.152584929955e-03,5.115132648072e-03,3.419023151857e-03
148,1.647015819661e-03,4.483127578077e-04,-1.584827050943e-03
149,1.304373281346e-03,-6.464154482409e-05,-1.302770558376e-03
150,2.666666666667e-01,-1.333333333333e-01,-2.309401076759e-01
151,1.163565531823e-03,-1.015799259491e-03,-5.674826968859e-04
152,1.442822944431e-03,-1.437486578970e-03,-1.239773538129e-04
153,4.091570634146e-03,-3.040752309735e-03,-2.737658789011e-03
154,5.137673169139e-03,-7.062220734576e-04,5.088903219344e-03
155,1.212588294465e-02,6.552038442520e-04,1.210816852831e-02
156,8.551166480952e-03,-1.094869413429e-03,8.480784701459e-03
157,3.769223438271e-03,-2.766059070335e-03,2.560461393387e-03
158,7.867280579720e-03,-2.265877562901e-03,7.533916815972e-03
159,1.058633457924e-02,-2.323409509052e-03,1.032822579521e-02
160,1.552170158963e-02,-2.463644494111e-03,1.532493641240e-02
161,5.477782743331e-03,-2.768142902591e-03,4.726889955771e-03
162,1.992953386899e-02,-3.543672160829e-03,1.961195318809e-02
163,6.137217004817e-03,-2.463462261452e-03,5.621101871574e-03
164,6.406689364410e-03,-2.255770096637e-03,5.996429761380e-03
165,4.229429033333e-02,8.142854530768e-03,-4.150302296087e-02
166,1.125955466866e-02,-2.905262064380e-03,1.087828220234e-02
167,6.951896871106e-03,-1.509429509816e-03,6.786051330589e-03
168,1.365588327189e-02,-3.573033548997e-03,1.318015854204e-02
169,7.089857339301e-03,-9.982295551572e-04,7.019231784665e-03
