k,n,X,Mplus,Msm,B,E,C,C_minus_2E,R,absR_over_sqrtx,rhoA,rhoB,float_resid
5,54,3024,24,8,7.986444382787376,8.013555617212624,8.027111234425249,-8.0,0.013555617212624327,0.00024650651574879866,0.8486588581887383,0.9301947007157899,0.0
5,57,3363,10,12,1.4370605023503913,-3.437060502350377,7.125878995299217,13.999999999999972,10.562939497649609,0.18214672146065639,0.8616025588782006,0.9361168313258091,1.4210854715202004e-14
5,60,3720,-11,-9,-7.861558379862835,5.861558379862835,4.72311675972567,-7.0,-1.138441620137165,0.018665485675442343,0.8806305794800038,0.9459738201241694,0.0
5,63,4095,-17,-18,-13.062858684390996,14.062858684390996,9.125717368781991,-19.0,-4.937141315609004,0.07715225163075658,0.8337405154019211,0.921590139451901,0.0
5,66,4488,-27,-15,-19.97211787310701,7.97211787310701,12.94423574621402,-3.0,4.97211787310701,0.0742189817455921,0.8576140039161237,0.932791162468249,0.0
5,69,4899,-41,-11,-23.822572968038948,-6.177427031961052,6.6451459360778955,19.0,12.822572968038948,0.1831983084879334,0.8651599461746069,0.9360006066924794,0.0
5,72,5328,-49,-24,-29.89824835091777,4.89824835091774,10.796496701835537,1.0000000000000568,5.898248350917768,0.08080550464719789,0.8604159082742121,0.9329461345546862,2.842170943040401e-14
5,75,5775,-79,-35,-41.7050302217554,-2.294969778244571,4.410060443510801,8.999999999999943,6.7050302217554005,0.08823171998320882,0.8597330957939138,0.9338354285797944,2.842170943040401e-14
5,78,6240,-87,-48,-49.35037110346909,10.350371103469115,11.700742206938173,-9.000000000000057,1.3503711034690866,0.017094674708191943,0.8263287272780924,0.9147934988614348,2.842170943040401e-14
5,81,6723,-97,-57,-54.89165498521612,14.891654985216121,12.783309970432242,-17.0,-2.108345014783879,0.02571343670563391,0.8351380968646378,0.9189548752291424,0.0
5,84,7224,-103,-53,-58.21691129871364,8.21691129871364,13.43382259742728,-3.0,5.21691129871364,0.061379674919048374,0.8557492345745126,0.9301628495471145,0.0
5,87,7743,-113,-60,-66.36106479251879,13.36106479251876,19.722129585037578,-6.999999999999943,6.361064792518789,0.07228949479028757,0.8551712164578699,0.9278779405014963,2.842170943040401e-14
