k,n,X,E,telescope_resid,argmax_E0,max_bnd,max_bnd_over_sqrtx,E0_x14,bnd_x14,bnd_x14_over_sqrtx
4,29,899,2.9480925564779845,1.7763568394002505e-14,8,3.392686789608817,0.11315243959157097,5,4.1803663253575465,0.1394230229414125
4,30,960,-0.2820464061143859,1.7763568394002505e-14,4,2.4640368978150597,0.07952644891398594,6,1.672014345649611,0.05396403096100696
4,31,1023,5.131045380656445,2.1316282072803006e-14,4,1.7333018092229509,0.05419214901184081,6,2.4894387244134997,0.07783297380260817
4,32,1088,8.273046690424565,1.4210854715202004e-14,4,3.163541206285501,0.09590893047433109,6,2.284500662736054,0.06925909951657572
4,33,1155,6.07328679136236,1.4210854715202004e-14,8,3.6602685355693083,0.10770155072291242,6,2.254964656593149,0.06635119472256631
4,34,1224,4.028851139211252,1.0658141036401503e-14,8,4.937220468369624,0.1411210541436709,6,2.008431285984617,0.057407187317051904
4,35,1295,2.923563029757002,1.7763568394002505e-14,8,3.7724239661669046,0.10483000609558477,6,2.127908792217621,0.0591313950021577
4,36,1368,-0.42007584158700695,1.7763568394002505e-14,8,3.3770300452861974,0.09130443552460173,6,2.0338089311374183,0.054987895852924865
4,37,1443,-2.6731736143803673,2.842170943040401e-14,8,4.545533226556749,0.1196607363846124,6,2.1090294629041466,0.05552000304684233
4,38,1520,4.558003444191755,1.4210854715202004e-14,4,3.8216750525043324,0.0980238968143335,6,3.163541206285501,0.08114311983945698
4,39,1599,9.819999560083971,1.4210854715202004e-14,8,5.177938173068732,0.12948892594075284,6,3.198773841193912,0.0799943481708463
4,40,1680,12.135219663759557,7.105427357601002e-15,8,4.638735376107114,0.11317355479829685,6,2.3985214341820438,0.05851793106467192
4,41,1763,11.473185127887724,0.0,4,4.109238549338073,0.09786675702249396,6,2.3973646946883065,0.05709629783044829
4,42,1848,3.6421657529938223,0.0,4,3.9967768483441546,0.09297344374675999,7,5.501322109121276,0.127972333971334
4,43,1935,5.528297521930746,0.0,8,5.5829342319547095,0.12691765146096823,7,3.161825371569307,0.07187823352681313
4,44,2024,3.5057211390704524,1.0658141036401503e-14,8,6.92167373760023,0.1538529650241801,7,5.5181318459412125,0.12265544116599068
4,45,2115,6.380528186225142,1.0658141036401503e-14,8,4.968936895456949,0.10804590100458616,7,5.478675425354851,0.1191297927702326
4,46,2208,-2.9785712729075797,1.0658141036401503e-14,8,4.618212217500684,0.0982820827644325,7,5.765683291850479,0.12270188891185801
4,47,2303,7.621276666220869,1.4210854715202004e-14,8,6.240501554409121,0.13003867231092633,7,3.666360524160382,0.07639909238355291
5,48,2400,6.774091175534515,2.842170943040401e-14,4,1.3442593743453841,0.027439579575826257,7,2.2255390920825846,0.04542862648516065
5,51,2703,6.161479564011607,2.842170943040401e-14,4,3.969441844296952,0.07634953927633303,7,3.0663763476088377,0.058979682930521714
5,54,3024,8.013555617212624,1.4210854715202004e-14,8,4.7226509143148405,0.08588057657023875,7,5.015750308536667,0.09121053752328327
5,57,3363,-3.437060502350377,1.4210854715202004e-14,8,3.3289114645635607,0.05740355792419008,8,3.3289114645635607,0.05740355792419008
5,60,3720,5.861558379862835,1.4210854715202004e-14,8,4.72199377256706,0.07742013781151033,8,4.72199377256706,0.07742013781151033
5,63,4095,14.062858684390996,4.263256414560601e-14,4,4.813189225820381,0.07521526376466177,8,4.554789025628651,0.07117726768713384
5,66,4488,7.97211787310701,4.263256414560601e-14,8,4.502202031158589,0.0672045311260334,8,4.502202031158589,0.0672045311260334
5,69,4899,-6.177427031961052,8.526512829121202e-14,8,7.209680474361932,0.10300594669523547,8,7.209680474361932,0.10300594669523547
5,72,5328,4.89824835091774,8.526512829121202e-14,8,8.34750619402135,0.11436013040185893,9,5.392784139364039,0.0738806876056534
5,75,5775,-2.294969778244571,8.526512829121202e-14,8,5.603480520368322,0.07373639012100772,9,5.638462852629772,0.07419672381710904
5,78,6240,10.350371103469115,4.263256414560601e-14,4,4.706226459830191,0.059577260078510406,9,4.331869102460843,0.05483817966394356
5,81,6723,14.891654985216121,9.947598300641403e-14,8,6.01343537713953,0.07334003157417165,9,5.161350240464969,0.06294797663247197
