type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,225,74,1,225,14.99999999999994,21.213203435596427,0.999999999999996
complete,225,75,75,225,129.90381056766557,183.71173070873834,8.660254037844371
complete,225,76,1,225,15.000000000000021,21.213203435596427,1.0000000000000013
complete,225,77,1,225,14.999999999998765,21.213203435596427,0.9999999999999177
complete,225,78,3,225,25.980762113532677,36.742346141747674,1.7320508075688452
complete,225,79,1,225,14.999999999999373,21.213203435596427,0.9999999999999581
complete,225,80,5,225,33.5410196624968,47.43416490252569,2.2360679774997867
complete,225,81,9,225,44.99999999999983,63.63961030678928,2.9999999999999885
complete,225,82,1,225,14.999999999998662,21.213203435596427,0.9999999999999108
complete,225,83,1,225,15.000000000000606,21.213203435596427,1.0000000000000404
complete,225,84,3,225,25.980762113533174,36.742346141747674,1.7320508075688783
complete,225,85,5,225,33.54101966249701,47.43416490252569,2.2360679774998005
complete,225,86,1,225,14.999999999999785,21.213203435596427,0.9999999999999857
complete,225,87,3,225,25.980762113533064,36.742346141747674,1.732050807568871
complete,225,88,1,225,14.999999999999496,21.213203435596427,0.9999999999999664
complete,225,89,1,225,15.000000000000984,21.213203435596427,1.0000000000000655
complete,225,90,45,225,100.62305898749037,142.30249470757707,6.708203932499358
complete,225,91,1,225,15.000000000001494,21.213203435596427,1.0000000000000997
complete,225,92,1,225,15.00000000000066,21.213203435596427,1.000000000000044
complete,225,93,3,225,25.980762113533615,36.742346141747674,1.7320508075689076
complete,225,94,1,225,14.999999999999739,21.213203435596427,0.9999999999999826
complete,225,95,5,225,33.54101966249701,47.43416490252569,2.2360679774998005
complete,225,96,3,225,25.980762113533004,36.742346141747674,1.732050807568867
complete,225,97,1,225,15.000000000000135,21.213203435596427,1.000000000000009
complete,225,98,1,225,15.00000000000135,21.213203435596427,1.00000000000009
complete,225,99,9,225,45.00000000000056,63.63961030678928,3.0000000000000373
complete,225,100,25,225,75.0000000000004,106.06601717798213,5.000000000000027
complete,225,101,1,225,14.999999999998966,21.213203435596427,0.999999999999931
complete,225,102,3,225,25.980762113533853,36.742346141747674,1.7320508075689236
complete,225,103,1,225,14.999999999999863,21.213203435596427,0.9999999999999909
complete,225,104,1,225,14.999999999999748,21.213203435596427,0.9999999999999832
complete,225,105,15,225,58.09475019311188,82.15838362577492,3.8729833462074583
complete,225,106,1,225,14.999999999999913,21.213203435596427,0.9999999999999942
complete,225,107,1,225,14.999999999999744,21.213203435596427,0.9999999999999829
complete,225,108,9,225,44.999999999999844,63.63961030678928,2.99999999999999
complete,225,109,1,225,14.999999999998856,21.213203435596427,0.9999999999999237
complete,225,110,5,225,33.54101966249539,47.43416490252569,2.2360679774996925
complete,225,111,3,225,25.980762113532002,36.742346141747674,1.7320508075688001
