k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_q,ratio_renewal,ratio_rawdisc
3,9,99,9,1.6666666666666667,1.6666666666666667,3.3166247903554,4.9610364864809995,0.502518907629606,0.335951301952403
3,10,120,9,0.0,0.0,3.6514837167011076,3.7696886042518543,0.0,0.0
3,11,143,9,3.3333333333333335,3.3333333333333335,3.986086914367133,2.768605280446696,0.8362420100070908,1.2039756468265936
3,12,168,9,1.3333333333333333,1.3333333333333333,4.320493798938574,5.469764568162255,0.30860669992418377,0.24376430040412322
3,13,195,9,1.3333333333333333,1.3333333333333333,4.654746681256314,4.7823787623215,0.28644594961577313,0.27880128270854404
3,5,35,10,6.2,6.2,1.8708286933869707,2.918117522716483,3.3140393997140625,2.124657403869192
3,6,48,10,7.499999999999998,7.499999999999998,2.1908902300206643,4.589652902178976,3.4232659844072875,1.63411050026012
3,7,63,10,-1.3000000000000018,1.3000000000000018,2.5099800796022267,2.411198703866077,0.5179323973782379,0.5391509202106002
3,8,80,10,0.0,0.0,2.8284271247461903,2.4565060844751123,0.0,0.0
3,9,99,10,6.7,6.7,3.146426544510455,5.732379426129437,2.1293997826484894,1.1687991149818062
3,10,120,10,0.0,0.0,3.4641016151377544,6.367258909288179,0.0,0.0
3,11,143,10,-1.2999999999999934,1.2999999999999934,3.7815340802378077,4.84416631328866,0.34377582547616253,0.26836403127485425
3,12,168,10,7.5,7.5,4.09878030638384,6.076886476473739,1.8298126367784995,1.234184648509685
3,13,195,10,6.200000000000005,6.200000000000005,4.415880433163924,4.076017802411194,1.4040235223392996,1.5210924732302091
3,5,35,15,-0.7999999999999997,0.7999999999999997,1.5275252316519468,2.4290898509446865,0.5237229365663815,0.32934146083104965
3,6,48,15,-0.6666666666666653,0.6666666666666653,1.7888543819998317,2.632704170013526,0.37267799624996417,0.25322505819681224
3,7,63,15,-0.6666666666666671,0.6666666666666671,2.04939015319192,2.3181719383004626,0.3253000243161779,0.2875829249988355
3,8,80,15,-0.8000000000000022,0.8000000000000022,2.309401076758503,2.5551667261078066,0.3464101615137764,0.31309111527865474
3,9,99,15,1.6666666666666667,1.6666666666666667,2.569046515733026,4.305344693113835,0.6487491201346025,0.3871157329940178
3,10,120,15,0.0,0.0,2.8284271247461903,6.761991750781597,0.0,0.0
3,11,143,15,0.5333333333333276,0.5333333333333276,3.0876096471758427,7.239096477983226,0.17273340683501034,0.07367401925853478
3,12,168,15,-0.6666666666666664,0.6666666666666664,3.3466401061363023,5.346816641168303,0.19920476822239885,0.12468478188191559
3,13,195,15,1.8947806286936005e-15,1.8947806286936005e-15,3.605551275463989,3.523319609902476,5.255175932700516e-16,5.37782783988208e-16
3,5,35,25,6.599999963406556,6.599999963406556,1.1832159566199232,2.310443010546419,5.578018050281105,2.8565950050616733
3,6,48,25,3.9999998682636044,3.9999998682636044,1.3856406460551018,2.4,2.8867512508755744,1.6666666117765019
3,7,63,25,6.799999758483275,6.799999758483275,1.5874507866387544,3.358769136971682,4.283597208630006,2.024551102257138
3,8,80,25,-3.659344327644476e-07,3.659344327644476e-07,1.7888543819998317,4.429890863013441,2.0456356674228278e-07,8.260574449356074e-08
3,9,99,25,1.9999994950104827,1.9999994950104827,1.98997487421324,4.95,1.0050375614924314,0.4040403020223197
3,10,120,25,5.799999341318022,5.799999341318022,2.1908902300206643,4.2082405307719455,2.647325393962489,1.378248058519148
3,11,143,25,3.3999991729881804,3.3999991729881804,2.3916521486202797,5.204089850944687,1.421611071221041,0.6533321426744748
3,12,168,25,3.3999989900209653,3.3999989900209653,2.592296279363144,5.45556102083356,1.3115780850699101,0.6232171131506244
3,13,195,25,5.799998792416375,5.799998792416375,2.792848008753788,4.856293847620233,2.0767327023300575,1.194326161967854
3,5,35,30,4.533333333333333,4.533333333333333,1.0801234497346435,2.4290898509446865,4.1970511189689,1.8662682780426152
3,6,48,30,-11.0,11.0,1.2649110640673518,3.0555610208335597,8.696263565463044,3.5999935609203413
3,7,63,30,1.3333333333333344,1.3333333333333344,1.449137674618944,2.9846508717782463,0.920087412456473,0.44673008355544724
3,8,80,30,-14.2,14.2,1.632993161855452,3.3166390542337254,8.695688586880282,4.281442679713232
3,9,99,30,3.1666666666666656,3.1666666666666656,1.816590212458495,5.691639054233725,1.7431926281167371,0.556371659638385
3,10,120,30,0.0,0.0,2.0,7.455138931341542,0.0,0.0
3,11,143,30,-11.46666666666667,11.46666666666667,2.183269719175042,7.932243658543172,5.252061422351152,1.445576706953128
3,12,168,30,-10.999999999999996,10.999999999999996,2.3664319132398464,6.0399638217282465,4.64834840100684,1.821202961585374
3,13,195,30,-9.666666666666663,9.666666666666663,2.5495097567963922,4.21646679046242,3.7915786126715565,2.2925987911330186
4,14,224,2,0.0,0.0,10.583005244258363,11.947143533928681,0.0,0.0
4,16,288,2,0.0,0.0,12.0,2.8262279553864005,0.0,0.0
4,18,360,2,0.0,0.0,13.416407864998739,6.318797775773646,0.0,0.0
4,20,440,2,0.0,0.0,14.832396974191326,5.4048061422049045,0.0,0.0
4,22,528,2,0.0,0.0,16.24807680927192,6.9246911022634094,0.0,0.0
4,24,624,2,0.0,0.0,17.663521732655695,4.252428251646052,0.0,0.0
4,26,728,2,0.0,0.0,19.078784028338912,8.950906962664021,0.0,0.0
4,28,840,2,0.0,0.0,20.493901531919196,6.521517960149708,0.0,0.0
4,30,960,2,0.0,0.0,21.908902300206645,14.322485622575527,0.0,0.0
4,32,1088,2,0.0,0.0,23.323807579381203,7.225826763263058,0.0,0.0
4,34,1224,2,0.0,0.0,24.73863375370596,9.280333466705315,0.0,0.0
4,36,1368,2,0.0,0.0,26.153393661244042,14.792020341055604,0.0,0.0
