n,X,cnt_sf_A,corrA,signagreeA,zA,sum_mu_errA,sum_abs_errA,cnt_sf_B,corrB,signagreeB,zB,sum_mu_errB,sum_abs_errB
1250,1565000,308,0.0019728193255760798,0.4772727272727273,0.034453808321675695,29.97672636534253,1911.2909311699427,761,0.007338455460496036,0.5019710906701709,0.20204088654930352,87.07016178026609,10345.09640039509
1251,1567503,309,0.018015127230546258,0.5145631067961165,0.3151360207824986,88.78484569804965,1903.191239908468,761,0.01692313585852474,0.5019710906701709,0.46592438837525246,146.4928374418888,10349.305046252151
1252,1570008,309,0.003203165227568299,0.47249190938511326,0.056032507059575846,40.06068324623658,1918.3988183782353,761,0.007428789490577276,0.5019710906701709,0.20452794498025453,88.32958362831656,10351.343812336629
1253,1572515,309,0.006157205321784165,0.4692556634304207,0.10770710411402683,49.606270726564276,1917.4092157543928,762,0.012684981277788105,0.5013123359580053,0.3494706586589732,106.48817256186038,10371.094955284418
1254,1575024,310,0.01986919255562186,0.4870967741935484,0.3481363777794564,91.56225376167771,1918.241326002973,763,0.017724246631500143,0.5006553079947575,0.4886237593253377,127.20524292637498,10388.255557648172
1255,1577535,311,0.006101465944948853,0.4758842443729904,0.10708029275562402,50.05735663145151,1937.867055275375,764,0.011656257996763964,0.5,0.32155219595067497,74.31958084501352,10409.11690635213
1256,1580048,311,-0.0006184583481615221,0.4790996784565916,-0.010853899960405429,27.014042739468607,1932.4944051155603,764,0.0059160934895120575,0.5,0.16320270652298735,37.99764758409674,10401.241807503919
1257,1582563,311,-0.006428947687243082,0.5112540192926045,-0.11282757400792999,7.129481664748596,1915.588715736798,765,0.004453327606111609,0.4993464052287582,0.1229312026977898,14.862276605452593,10419.501741400236
1258,1585080,311,0.003479017605170765,0.5080385852090032,0.061056511176967386,41.02190024128424,1925.0206741787358,766,0.010203985235977084,0.5,0.2818591192654182,64.92595665792828,10436.081343183876
1259,1587599,312,-0.013438445861946122,0.4775641025641026,-0.2362263207180715,-13.145707367339526,1922.7846659375305,767,-0.0001464456240276283,0.500651890482399,-0.004047837581819072,12.639677492917315,10435.816720972667
1260,1590120,313,-0.011626677352904381,0.49201277955271566,-0.2047087788621858,-10.948009745224567,1920.7766826447419,767,0.00023999855880229928,0.500651890482399,0.006633692145823927,15.157565369207617,10443.673965826965
1261,1592643,314,-0.02290328752558758,0.47770700636942676,-0.40390387497299124,-60.09483226750041,1945.0000185522306,768,-0.0078230781652772,0.5,-0.21637565081295126,-52.27140247962976,10457.628678260322
1262,1595168,314,-0.02082123839448112,0.4745222929936306,-0.3671865386081336,-51.00945426703106,1950.0864435660544,769,-0.005647317271388487,0.49934980494148246,-0.1562991341966154,-50.82485274065712,10474.84701491312
1263,1597695,314,-0.019425862004459005,0.4840764331210191,-0.34257880793426837,-46.1377199043236,1939.266784158917,770,-0.004228554182895758,0.4987012987012987,-0.11710881374339234,-55.18474425420413,10483.573999537866
